,Deepak Jogi,Dipak jogi,Gowthami,Gowthami k,I want to see anurag profile,Personal details,SHow me Edna's profile,Show Gautam's profile,Show employee profile,Show me Edna mode's profile,View employee profile,can i edit  my profile,change my pic,delete my profile,employee info,employee information,employee page,employee profile,employee search,how do i download my profile,how to edit profile?,how update my profile,i am search,manager's profile,maneesh,my manager profile,my profile,my profile not show at darwinbox..,my profile not showing in my Darwin Box so pl check and update the same,my reportees profile,need to change the profile,personal information update,personal inoformation,profile,profile photo update,sahith profile,search Minion,search ashok profile,shivam gupta,shivam koul,show employee details,show employee information,show employee profile,show me akshaya's profile,show me ashok's profile,show me bushras profile,show me edna;s profile,show me profile of Jessica,show me ranaq profile,show me ranaq's profile,show me sahith profile,show my colleagues profile,show my profile,show my reportee's profile,show profile,show raj profile,view employee,view employee details,view employee information,view profile,what to enter in biographical,whers i can find employees life cycle,who is HR I'n Mumbai,who is Harshita,who is he
Deepak Jogi,0.0,0.20387170743649707,0.48759737071845966,0.4791455456829429,0.5871436064034214,0.8367864691949639,0.8106631938625427,0.6924209349545746,0.8923878584779065,0.7955993962785609,0.8751510234962759,0.96644448957871,0.915195605871042,0.8513517197900968,0.8490063006198487,0.8876537579176532,0.8718310091423475,0.8602758243894335,0.8782941133952507,0.9444630132800391,0.8949588507269316,0.9618731970277715,0.7762988182558045,0.7847028954920405,0.6124680846066239,0.8106728594612124,0.7537131623902715,0.9842112375970847,0.9976492574197963,0.7734804487431771,0.9039278251536716,1.0113778031550806,0.8754661529101392,0.7471431661312669,0.9434880635921677,0.6293457131616652,0.8538263542486743,0.6735893758835496,0.4036604859661622,0.5097037926731149,0.9010671183739398,0.9156568517912838,0.8923878584779065,0.6595142466897556,0.6011250287925651,0.7852177381817675,0.79887773927836,0.7389765978033732,0.6637297942858083,0.6332904775896792,0.6352867582775437,0.8943251014715079,0.8646342483537062,0.8578731104018442,0.8359469072855352,0.6514334148310605,0.8222009137894694,0.8996965768903721,0.9159945811604695,0.8483056004598379,0.8980943903291935,0.9061875750042407,0.7243625667911292,0.6145506524479802,0.5633128541142891
Dipak jogi,0.20387170743649707,0.0,0.5068146450610687,0.5087757136736275,0.6732913931504971,0.8881788321451768,0.8270143138091599,0.7671040268075151,0.8977438610910379,0.8176230045778321,0.8915156877126492,0.9450661953299905,0.8585699638828574,0.8384308485376348,0.880271564510478,0.9016737363263582,0.8746179605532123,0.8701016991429912,0.8949764946017996,0.9294361885524746,0.8826739417911221,0.9500308644167904,0.8428245206904537,0.8440088136400112,0.6231191632287867,0.8617151730683461,0.7917042234462455,1.013150055003217,1.0180799026058571,0.7918173713255401,0.9032823427915512,0.9895732129460483,0.8962831327902173,0.7750972607375907,0.9091319964688725,0.6602015108530226,0.8601911938136909,0.7440281591579758,0.5643701440524884,0.6122620453745937,0.9293152891658373,0.9215608188043454,0.8977438610910379,0.7043373978891072,0.6728920673114782,0.7841713024583619,0.8163213555594175,0.7305245764095885,0.7421140370448533,0.7225520221971324,0.6788251910385676,0.9180596578426129,0.8689534621768265,0.8709118496609187,0.8587039747355028,0.7264242835851215,0.8897359813276882,0.936746516963353,0.9282881700087614,0.8701877324689348,0.918502993175438,0.9296016233508757,0.8350869695216341,0.703161081369309,0.6152817947064133
Gowthami,0.48759737071845966,0.5068146450610687,0.0,0.09149026924013126,0.7540963749898432,0.8683210547131881,0.87826675538578,0.6974848392700395,1.0071172947285683,0.8810821698412377,0.9940689377719326,1.0107694501181939,0.8639327064605673,0.8684039350530515,0.924875130627636,0.9539021547802643,0.9482199989814747,0.9774831546329165,0.9264804034198757,0.9835238010512705,0.9843072448735801,0.9634572716993931,0.7807307454616634,0.8967020135007198,0.5726100912489802,0.8696598464834454,0.8252635125381799,1.023923790309299,1.0132062306383256,0.8191478645540475,0.9374497941875714,1.0416296661396536,0.9003509075174122,0.8545146008857374,0.973279656789249,0.697019081012634,0.9231655693738221,0.7407972462950969,0.5537836853646785,0.6361365769012532,0.9803548837575455,0.9849065656768081,1.0071172947285683,0.7675944941826595,0.677476420125215,0.8459365128136613,0.8740892374950772,0.8670235106702164,0.7568992711294433,0.7461949135198761,0.6940471555870326,1.022527213598087,0.8871986524948647,0.9156546334611033,0.9306873787109445,0.6938448187454386,0.8870419470155967,0.9807255861701277,0.9833130942441966,0.9395746856152709,0.9915754018202096,1.0180757198261086,0.7163625566433045,0.7729336704334095,0.6964223061641748
Gowthami k,0.4791455456829429,0.5087757136736275,0.09149026924013126,0.0,0.715462801758353,0.8236572766442054,0.8564205092850772,0.6796280032485846,0.9682465558229988,0.8542791540841689,0.959529552495789,0.9860319137695941,0.8438938103538691,0.84189243153438,0.8741896525717999,0.8995756499717259,0.8995484794042446,0.9271963650311252,0.8898378126554702,0.9666240089894889,0.9622124287447594,0.9256717493569343,0.7384336578497809,0.8575538267553523,0.5798146096400653,0.8392582796444477,0.80121621953646,0.9985698107928975,0.9913931583590208,0.7937782716002311,0.9053946741841847,1.0007829479022752,0.8677128373025159,0.8226226510284422,0.9737589595447645,0.6657268784299226,0.911192282555445,0.6988791150506198,0.5188420291085721,0.5683590465995192,0.9201634463950874,0.9282128621405196,0.9682465558229988,0.6741204506858213,0.6299039536016722,0.8541928047698799,0.8493106109948522,0.8431459388367522,0.6629948644995495,0.6524762388964833,0.6360714809705492,0.9845381648948586,0.861670880119816,0.9029153121189074,0.9046264919381496,0.6376472356166476,0.8687146808173171,0.9343726570506772,0.9382570228616185,0.9243512325472918,0.9779854704306631,0.9668254999978869,0.6796700028252085,0.7511789790205742,0.7033414654146137
I want to see anurag profile,0.5871436064034214,0.6732913931504971,0.7540963749898432,0.715462801758353,0.0,0.6201007830186058,0.5580620987349938,0.3227836860116706,0.6099503420446954,0.6134173859773702,0.6050370329803914,0.7117543601472783,0.7761899375471317,0.640442728258773,0.7514616924761967,0.7877117192456841,0.711069276870382,0.655743617216773,0.8845532187731898,0.6355018150265043,0.6512823353835546,0.6986513471687192,0.6764943198189406,0.5417567458379509,0.744678437693495,0.5493397790736156,0.5259576851407737,0.6718566622169546,0.6831197502479811,0.506216658032757,0.6273217578830714,0.8953165777108765,0.807330830863782,0.4856748491133336,0.7499200086469932,0.43386913470300836,0.8758411695165855,0.4193787213115381,0.5607006917069022,0.6292017578669018,0.7315120480029921,0.7576038196610901,0.6099503420446954,0.3674004151149999,0.34236004222353367,0.6040690861217273,0.5689914726022365,0.5455059997048644,0.4278214010490754,0.4040325346782341,0.38460629550851044,0.606471635499017,0.48975937398575564,0.5637740823530677,0.4603068546366186,0.35136356187392126,0.7628067999344695,0.707389972313385,0.7428464877212666,0.45857676726973706,0.8033156734370072,0.7289568685040744,0.7492590563117131,0.6845892980151671,0.6669848250298471
Personal details,0.8367864691949639,0.8881788321451768,0.8683210547131881,0.8236572766442054,0.6201007830186058,0.0,0.6617432270188088,0.664419228756495,0.6241378845715907,0.7405512952347543,0.6229428796341765,0.7718861817837508,0.8468068557364884,0.7227596833594077,0.458793579747511,0.4324553604500928,0.6247738449933473,0.5011668025093252,0.7320106668783631,0.7767578838117215,0.6967534093020658,0.7816819275743447,0.6560749378549702,0.5429663921970802,0.8426569172312602,0.5559941801703003,0.5636834057457724,0.8386689727290169,0.8203377408984295,0.5220747216954421,0.7408193320179308,0.506140744061109,0.6008349421914347,0.47949113871924787,0.7888338446663625,0.6699607495876765,0.8837849968919452,0.6346885257945565,0.782621778531163,0.8366293714487778,0.5548534620818755,0.5605158494515556,0.6241378845715907,0.6807617085571316,0.6142289901108295,0.7548799754143467,0.6785713623468246,0.5985128429399986,0.702012810231152,0.6905408132752722,0.6741702183917506,0.6863805007407464,0.6466074026894455,0.6685504307501867,0.5963428564536957,0.6429414696480875,0.7062402522990705,0.5481757971954022,0.5619193454238358,0.5743697078054381,0.5112165087113454,0.6455699078999563,0.7766827703670894,0.8917123483801578,0.7936584085548135
SHow me Edna's profile,0.8106631938625427,0.8270143138091599,0.87826675538578,0.8564205092850772,0.5580620987349938,0.6617432270188088,0.0,0.5663012311913522,0.5873331518074881,0.12120436948020907,0.5980995297945733,0.7374253821581825,0.7574882522403784,0.6270516490692901,0.7488847475986429,0.754736156252472,0.7136094302037832,0.6404094083871379,0.8321297637028193,0.7088782941165064,0.6855522931582587,0.7827691103422213,0.7390504110413558,0.5974503495280397,0.8114042828646543,0.6092025069531384,0.5380483630310647,0.7309186602649407,0.7381714083614498,0.5558810408534922,0.7026334939767456,0.8313863199693281,0.7760180132757302,0.5291713516414525,0.7751845551720029,0.6493446769493809,0.9220641651256609,0.598782608970205,0.7340948624113519,0.8198148472694704,0.7249277576640762,0.7231015100337206,0.5873331518074881,0.509645728324012,0.5319613130305499,0.6431351159527199,0.00826858257861196,0.3781086004077724,0.5722666009747283,0.5483696628377466,0.5728415499962632,0.6046639397425048,0.5216027598584361,0.5812528465757959,0.49097604753805,0.5386976040143945,0.7384619131099395,0.7304018749062764,0.7331132175880205,0.5154246871698798,0.7474210084250741,0.7512000938254015,0.8812407001631323,0.8110480687398129,0.8064714053136396
Show Gautam's profile,0.6924209349545746,0.7671040268075151,0.6974848392700395,0.6796280032485846,0.3227836860116706,0.664419228756495,0.5663012311913522,0.0,0.5435742363161364,0.6310966883242999,0.5849036695915785,0.6951031572226228,0.7318755907469889,0.6451301802307352,0.8125672403194572,0.8199037923310071,0.7507202452810291,0.6674098121487011,0.8882763951395932,0.6546416550389844,0.615379447859643,0.6607021612952086,0.7936919281098258,0.5093513404537335,0.7831210507776063,0.52874977769374,0.540918834719925,0.5721127217038504,0.5846715587189704,0.520965463403309,0.5768965674458856,0.8247719130901866,0.8297855152424211,0.4768592891765736,0.6797522447377667,0.44523130110366205,0.8979274890752545,0.4366020419033845,0.5235499838112726,0.619976269889893,0.6793929640590428,0.6859564738828083,0.5435742363161364,0.4418083396626501,0.320129097539531,0.6330068936363642,0.5916935325054749,0.549717096966324,0.4398147584094959,0.4052454158696426,0.41154632901248056,0.5331518560202164,0.40374790961896023,0.47664160456166904,0.3508600291389047,0.23129361826283923,0.7684863077267519,0.7146697150663596,0.7439828475755488,0.3926297352753203,0.7836505944746984,0.8400516200211988,0.764712356219314,0.719297681692475,0.7821791283820908
Show employee profile,0.8923878584779065,0.8977438610910379,1.0071172947285683,0.9682465558229988,0.6099503420446954,0.6241378845715907,0.5873331518074881,0.5435742363161364,2.220446049250313e-16,0.666950421532742,0.05752629529904851,0.7318261854328895,0.8463899745031925,0.6948897878402543,0.3294532175251156,0.31537360386698354,0.26515339790580716,0.15626387809775022,0.47091052842695125,0.6422360463861656,0.6460346107359642,0.6921238925581016,0.7976155695556642,0.37498105891816436,0.9732039309840503,0.37578055368627095,0.558894942397717,0.655125201053404,0.6743728676381651,0.5261164148093106,0.5975211778006323,0.7309291344700748,0.8085777596584107,0.49978136398225925,0.7101141781459342,0.6764737041752422,0.8691043577195638,0.6189250662397088,0.8615135500009607,0.9081542974805837,0.17816423353023847,0.1685338398355174,2.220446049250313e-16,0.6476256082601972,0.5992358213221647,0.7269740354243839,0.6137827782496507,0.5894398108302648,0.6451755116409856,0.6386470258457063,0.6371636096305066,0.2658085163367059,0.3796678180260853,0.4044934436776493,0.2928605457554546,0.48535738593425704,0.4191511845089593,0.19719805932009815,0.19113881581757652,0.31642198763178675,0.7060425369545539,0.43793683237995795,0.7765295282240288,0.917085928930909,0.9024482169777341
Show me Edna mode's profile,0.7955993962785609,0.8176230045778321,0.8810821698412377,0.8542791540841689,0.6134173859773702,0.7405512952347543,0.12120436948020907,0.6310966883242999,0.666950421532742,0.0,0.6736910536310963,0.7607969367779677,0.774298359680709,0.6561215629602826,0.8092356483914475,0.8257832676865562,0.7981395587892638,0.720875348468786,0.8930258991465875,0.7402664417375455,0.7282084371312754,0.8117666063034956,0.804086865409393,0.645704220442895,0.8110505129393256,0.6457949515812986,0.5713593126326073,0.8059530497356802,0.812275792488819,0.6585933336665879,0.7344998396565481,0.8970590623201856,0.8395493347496665,0.5916178597005501,0.7971002991662313,0.7090900042927835,0.9872228109502914,0.7082884847509922,0.7214238529829957,0.7983093335254148,0.7917302895285652,0.7964984862148702,0.666950421532742,0.5460554520125243,0.6258326888267807,0.6965269195136865,0.1188743005206564,0.44492456686278115,0.624649377327098,0.6086702861868787,0.6327040661248283,0.7098612888409922,0.5876207606972227,0.6781784181267236,0.5710083187006734,0.622312870948197,0.8085446902907243,0.7951410528218061,0.8047376031363255,0.5869303102485715,0.8114572667510496,0.8345899191404332,0.9013138896465255,0.7976188598147138,0.8041270166887724
