,"Can you give the list of all my requests
",DO i have any requests,Find my recent leave requests,"Give me the list of my all  requests
","Give me the list of pending requests
","Give me the list of processed requests
",Harsha leave requests,Has my leave request been approved,"I want to know which all requests I have made
","I want to see my requests
",Ranaq leave request,"Show me my approved requests
","Show my pending requests
","Show my requests
","Show which all requests have I made
","Tell me the list of my all requests
",View old Request,how i can view my request,is my request approved,pending request,pending requests,raise request,request pending,requests,show all requests for this month,"show me the requests I have made
",show my requests,show requests,status of my request,what happened to my request
"Can you give the list of all my requests
",0.0,0.3496753349429865,0.6196116967391898,0.03454948275445158,0.23844059326581335,0.29079034902249257,0.853832630729377,0.7837709944815017,0.23082695686625543,0.26167528892650027,0.8629203552991513,0.4022420409963545,0.40117069139684747,0.2668073208909768,0.3988186659602796,0.033792873779980415,0.582540462089232,0.40010711237519836,0.5863988819210495,0.495301311059834,0.45172313865826996,0.6600286426506456,0.48474015753878663,0.42151539012364725,0.535365171026229,0.25675011294068706,0.2668073208909768,0.40712341794686013,0.4657335197755125,0.49466010400406224
DO i have any requests,0.3496753349429865,0.0,0.7123518609890196,0.38803061367937186,0.4161962478867782,0.5499832703257644,0.7474672528018712,0.6759151091223502,0.5159784320309254,0.44758653874645504,0.7396475546563548,0.5930454931961222,0.5700423716021662,0.44744554681156334,0.6236029950901556,0.37500343971964734,0.6708669771300995,0.5673095065920642,0.38283371236828867,0.4268800408657788,0.422554161912738,0.47215752400558153,0.3789833961231459,0.2623471543392081,0.65285994224763,0.4121876438537154,0.44744554681156334,0.45325899222060284,0.3642396215098096,0.5004475204693313
Find my recent leave requests,0.6196116967391898,0.7123518609890196,0.0,0.5790798458985515,0.6435276214085157,0.5625429984809016,0.6074882929048167,0.4245968355309093,0.38936317976412405,0.5579449887840502,0.6731213357632606,0.48166772694887905,0.6410982119026122,0.5742743845644029,0.45023651595122205,0.5887148238596238,0.5613848287968098,0.6521812470347266,0.774116032237379,0.7409336076061646,0.7222578532620483,0.7429938696819686,0.7465425101097319,0.6941041856789989,0.5952781361566055,0.44139375458377994,0.5742743845644029,0.6901621971770544,0.6775381706606848,0.6668994798479737
"Give me the list of my all  requests
",0.03454948275445158,0.38803061367937186,0.5790798458985515,1.1102230246251565e-16,0.23809955733814114,0.26585566252026716,0.8784319125913271,0.7915660147120995,0.18304302970516584,0.23312844847354608,0.8760728202998829,0.36248591924259066,0.3732485793119368,0.240692999132894,0.32161120470554005,0.005368922412833821,0.5602868934347675,0.3934048816912651,0.624863290289688,0.5030981831849602,0.4593220168721678,0.6820782520803321,0.49714856955133446,0.4367099056425292,0.5068644037447658,0.22972096964450905,0.240692999132894,0.3977410504496742,0.4915030964281476,0.49728047757904614
"Give me the list of pending requests
",0.23844059326581335,0.4161962478867782,0.6435276214085157,0.23809955733814114,0.0,0.16243703173148893,0.821992110028497,0.7435452401837572,0.35114762934782784,0.31419407397467125,0.8085879575324646,0.3990780302589646,0.17677843089645662,0.32600185304950624,0.4264380688888385,0.2518418525697098,0.5062420576286015,0.41483970425859473,0.6027677461435366,0.22621880031498964,0.16431617135550336,0.5873809570135256,0.2563506224119544,0.43052957886430965,0.501389655311065,0.35130499789811087,0.32600185304950624,0.3850492847137287,0.365667286509059,0.4939171294584562
"Give me the list of processed requests
",0.29079034902249257,0.5499832703257644,0.5625429984809016,0.26585566252026716,0.16243703173148893,2.220446049250313e-16,0.8654524957497113,0.7440935666660742,0.24221206827335628,0.3218189934444554,0.8568538457491653,0.3589308042093019,0.2851568359506015,0.30873973907143804,0.2810571332783801,0.2885766009770365,0.4282130154537642,0.3906599303018242,0.6551120039750953,0.4322962083133043,0.34624366121543537,0.698099919768105,0.4471636674571945,0.5165407763426628,0.4484748621951604,0.32696504273701477,0.30873973907143804,0.3865616439788082,0.48083779453469644,0.5348846550296571
Harsha leave requests,0.853832630729377,0.7474672528018712,0.6074882929048167,0.8784319125913271,0.821992110028497,0.8654524957497113,0.0,0.4941985652601282,0.878893058596572,0.8840742284258264,0.30492704450892805,0.9119765988480005,0.9200989061532426,0.9082655627900619,0.960258203359003,0.8701040805553101,0.8899206451180086,0.9147069894788384,0.6970624065271078,0.7646167064779397,0.7970823609909153,0.6710930698065152,0.7678561279673966,0.7518093066381221,0.8920613586655968,0.8684695836233004,0.9082655627900619,0.8759554504800048,0.7237714753061051,0.8064396400222679
Has my leave request been approved,0.7837709944815017,0.6759151091223502,0.4245968355309093,0.7915660147120995,0.7435452401837572,0.7440935666660742,0.4941985652601282,0.0,0.7025620645172364,0.7831860972162343,0.5183491226592409,0.6560342972474102,0.8098314306470656,0.7991950656666633,0.839909034007088,0.780365828526842,0.7935342182021757,0.7651675071410616,0.4573877241163571,0.6493977748562179,0.705914566703515,0.7046724325772793,0.6350075300482818,0.7719723463138576,0.851592095342769,0.7281980628993242,0.7991950656666633,0.8166033175793581,0.500079337029891,0.6445308396971945
"I want to know which all requests I have made
",0.23082695686625543,0.5159784320309254,0.38936317976412405,0.18304302970516584,0.35114762934782784,0.24221206827335628,0.878893058596572,0.7025620645172364,1.1102230246251565e-16,0.20908121654571465,0.8939081059189528,0.2695940512030143,0.3945147231828139,0.2381906972599246,0.15659140563245355,0.19375814736362496,0.4076600837589137,0.2865047695501288,0.6231121857940474,0.5763929230307402,0.5480225809950681,0.6917337939383438,0.5656551079282154,0.5641983615325439,0.46826251032229693,0.1283223235639196,0.2381906972599246,0.4429384814621532,0.48170829430887274,0.4474854291458732
"I want to see my requests
",0.26167528892650027,0.44758653874645504,0.5579449887840502,0.23312844847354608,0.31419407397467125,0.3218189934444554,0.8840742284258264,0.7831860972162343,0.20908121654571465,0.0,0.8816925509207169,0.2687346282138382,0.28505728150211185,0.11715754702786207,0.25783694735247975,0.25078243943322787,0.3727383587811566,0.1670380402808539,0.6358192100933655,0.4768289525996082,0.4674828366695878,0.6454768051674162,0.47054140542658285,0.4829827258339211,0.465385554585808,0.14903061179655663,0.11715754702786207,0.29129346745114304,0.4644549844800313,0.39300570047420325
