,TDS deducted is Rs. 0,TDS deduction,What is my TDS deduction,check tax deduction,deduction,gross deduction,how much tax did i pay,how much tax is deducted,tax,tax deduction,tax paid,tds,tds deducted,tds for year 2021 and 2022,tds paid,what is my tds
TDS deducted is Rs. 0,0.0,0.19546015300642738,0.23799457829882842,0.5278037143574613,0.6106451381864737,0.4768858560622794,0.6351810071355233,0.5169871250809597,0.6343339876024827,0.5535923435193122,0.5541867879107556,0.5117661508473523,0.18575470375566372,0.5755153261248027,0.4822231953589494,0.3884220382408504
TDS deduction,0.19546015300642738,0.0,0.08659833061116384,0.3936699057258387,0.4631027180617686,0.3796278496830604,0.6379516564317368,0.4611925602256317,0.5907740396081882,0.37569475552121445,0.5372759043230704,0.4046790142716208,0.09905273370262746,0.4957720851377818,0.4083891967648413,0.3501535231027627
What is my TDS deduction,0.23799457829882842,0.08659833061116384,0.0,0.40837322111435115,0.5665990104487733,0.4039885827593517,0.5111557634613031,0.3659292430187636,0.5941555468227833,0.4158648878461031,0.5454542585601021,0.45821936166960375,0.17557196593838498,0.5379802639480604,0.46955729028953774,0.28443468235896185
check tax deduction,0.5278037143574613,0.3936699057258387,0.40837322111435115,0.0,0.47287516912989547,0.32655837527939047,0.47298313450188656,0.3586194918018477,0.4642874716958779,0.19733537396184242,0.4052454646879019,0.8288614812772623,0.47042683087308634,0.8067067968235482,0.7066075188081866,0.753001055423575
deduction,0.6106451381864737,0.4631027180617686,0.5665990104487733,0.47287516912989547,1.1102230246251565e-16,0.4001486860970742,0.7880806175704567,0.596541832603617,0.6118583201589721,0.42711457733103686,0.6101053721814079,0.769092520804771,0.48115647889644064,0.8506604795607338,0.7049095537751434,0.8194248895989773
gross deduction,0.4768858560622794,0.3796278496830604,0.4039885827593517,0.32655837527939047,0.4001486860970742,2.220446049250313e-16,0.54396434055934,0.365330446518924,0.412911467252867,0.30746020191427736,0.4084384434398377,0.807355369315894,0.4186887693022848,0.8278301466502724,0.7172996544597727,0.7804718658969221
how much tax did i pay,0.6351810071355233,0.6379516564317368,0.5111557634613031,0.47298313450188656,0.7880806175704567,0.54396434055934,0.0,0.32069188001430493,0.40290014418368925,0.5100263289804523,0.3859567694750208,0.8927546551938526,0.636468894603256,0.8615355129789131,0.7805688667646209,0.7598655234483422
how much tax is deducted,0.5169871250809597,0.4611925602256317,0.3659292430187636,0.3586194918018477,0.596541832603617,0.365330446518924,0.32069188001430493,0.0,0.4202278953641647,0.3210623958345802,0.4334601753335289,0.8738212671046792,0.4899603341733436,0.855343427745098,0.8187820767926929,0.8036753758202061
tax,0.6343339876024827,0.5907740396081882,0.5941555468227833,0.4642874716958779,0.6118583201589721,0.412911467252867,0.40290014418368925,0.4202278953641647,0.0,0.39687708835480695,0.25209928684215543,0.8379704841045474,0.6055275026746341,0.8436256979565053,0.7446976721128126,0.8426089360185193
tax deduction,0.5535923435193122,0.37569475552121445,0.4158648878461031,0.19733537396184242,0.42711457733103686,0.30746020191427736,0.5100263289804523,0.3210623958345802,0.39687708835480695,0.0,0.36095989157493336,0.8405822139037598,0.46092803116881165,0.8355259178774443,0.7352520712466214,0.8476609842667415
tax paid,0.5541867879107556,0.5372759043230704,0.5454542585601021,0.4052454646879019,0.6101053721814079,0.4084384434398377,0.3859567694750208,0.4334601753335289,0.25209928684215543,0.36095989157493336,0.0,0.8022096037501587,0.5297385553708067,0.816576016294291,0.5201863962224214,0.7955305515488326
tds,0.5117661508473523,0.4046790142716208,0.45821936166960375,0.8288614812772623,0.769092520804771,0.807355369315894,0.8927546551938526,0.8738212671046792,0.8379704841045474,0.8405822139037598,0.8022096037501587,0.0,0.3393729631789961,0.43339245097236123,0.23773074018607665,0.2264837250360513
tds deducted,0.18575470375566372,0.09905273370262746,0.17557196593838498,0.47042683087308634,0.48115647889644064,0.4186887693022848,0.636468894603256,0.4899603341733436,0.6055275026746341,0.46092803116881165,0.5297385553708067,0.3393729631789961,2.220446049250313e-16,0.5400959778078334,0.3105760413485119,0.34101284442634483
tds for year 2021 and 2022,0.5755153261248027,0.4957720851377818,0.5379802639480604,0.8067067968235482,0.8506604795607338,0.8278301466502724,0.8615355129789131,0.855343427745098,0.8436256979565053,0.8355259178774443,0.816576016294291,0.43339245097236123,0.5400959778078334,0.0,0.5192559604081535,0.4355951336958881
tds paid,0.4822231953589494,0.4083891967648413,0.46955729028953774,0.7066075188081866,0.7049095537751434,0.7172996544597727,0.7805688667646209,0.8187820767926929,0.7446976721128126,0.7352520712466214,0.5201863962224214,0.23773074018607665,0.3105760413485119,0.5192559604081535,0.0,0.3766574171532949
what is my tds,0.3884220382408504,0.3501535231027627,0.28443468235896185,0.753001055423575,0.8194248895989773,0.7804718658969221,0.7598655234483422,0.8036753758202061,0.8426089360185193,0.8476609842667415,0.7955305515488326,0.2264837250360513,0.34101284442634483,0.4355951336958881,0.3766574171532949,0.0
