,View Ram's attendance summery,View Ram's attendnace page,View ram's attendance page,View reportee's attendance,check number of absent days of my reportee,check number of present days of my subordinate,employee's attendance page,go to ram's attendance view,how is ram's attendance this month,how many of my reportees are in the office yesterday?,how many of my reportees are in the office?,i want to see ram's absent days in this month,see weekly off of my reportee,see weekly off of my subordinate,show attendance page of my team,show attendance summary of my reportees,team attendance,view attendance policy of my subordinate,view shift of my subordinate,view the attendance assignments of my team members
View Ram's attendance summery,0.0,0.2616370806445385,0.15587840834012534,0.5046920229604522,0.6083169685030997,0.658473114339443,0.5836404023404644,0.1349346849119598,0.23135529130915122,0.6354853459499671,0.6738354464119063,0.2130877005002113,0.6271046873876831,0.7376228922596901,0.5246791508277258,0.5210734218983082,0.6062717157869294,0.6029494878554087,0.9090958213399918,0.5655477854039855
View Ram's attendnace page,0.2616370806445385,0.0,0.12166322635275506,0.6635834860006085,0.8254236884585593,0.8580137814807434,0.6250508084404091,0.29671225425051184,0.4363865761685355,0.8410488402837549,0.8378837903159035,0.3881841640127619,0.8269176584172617,0.8746753325000738,0.651221758345176,0.6938192147397362,0.8361054892374571,0.7417836552441778,0.9725999945418858,0.7028388132079257
View ram's attendance page,0.15587840834012534,0.12166322635275506,0.0,0.4473306853354252,0.610637030554852,0.7254089709192436,0.3760574180195634,0.11808502346296379,0.28983653605282034,0.6675759997499291,0.6959076625288154,0.32534235754925356,0.7254292612349147,0.7994269754007082,0.4718124361049839,0.4814117944104056,0.6525771201475985,0.5638245161089446,0.9689559463025443,0.5274480980325743
View reportee's attendance,0.5046920229604522,0.6635834860006085,0.4473306853354252,2.220446049250313e-16,0.2600994242303548,0.5288034007655,0.3150624830011167,0.382732926127065,0.6367184779612499,0.4676895944786802,0.47224945680612895,0.6005687793084555,0.49008864729937673,0.5727872405460501,0.45483505442739036,0.1611892036299738,0.6206282412822892,0.3473941648868356,0.8101173226547305,0.3520644795717355
check number of absent days of my reportee,0.6083169685030997,0.8254236884585593,0.610637030554852,0.2600994242303548,0.0,0.33669557591658694,0.46552008799620037,0.5021035220961212,0.6531230045724608,0.43287174581020305,0.4960248907707473,0.47079887489625805,0.5529724376108675,0.6422552763050378,0.6198750210174271,0.3220726702937097,0.7452821730170796,0.4320609279212918,0.9298816908710206,0.4672044546058306
check number of present days of my subordinate,0.658473114339443,0.8580137814807434,0.7254089709192436,0.5288034007655,0.33669557591658694,0.0,0.5851946454516727,0.6222638534598408,0.7153505347610123,0.5273690131573243,0.5948012554995503,0.5334446826318573,0.6708129487295215,0.45238020711357696,0.7554986112410221,0.5928167953767026,0.840745680083326,0.3817200845359343,0.6946218055948976,0.6369339662894092
employee's attendance page,0.5836404023404644,0.6250508084404091,0.3760574180195634,0.3150624830011167,0.46552008799620037,0.5851946454516727,0.0,0.418047895473898,0.6362705465511715,0.6308694064769682,0.6558009562990256,0.6150218312446647,0.7304289135569153,0.6072084896162533,0.3778007502223697,0.3895142042248,0.6074745493516842,0.33869169192793336,0.8789308155234729,0.3979602645381932
go to ram's attendance view,0.1349346849119598,0.29671225425051184,0.11808502346296379,0.382732926127065,0.5021035220961212,0.6222638534598408,0.418047895473898,0.0,0.25543177988547805,0.5539574485146335,0.6013615508534704,0.2767672982757343,0.6204889044619525,0.7441184076009375,0.4340037240691217,0.4096338742343848,0.5096133629370188,0.4924310770831608,0.9199163923134513,0.4372733978269778
how is ram's attendance this month,0.23135529130915122,0.4363865761685355,0.28983653605282034,0.6367184779612499,0.6531230045724608,0.7153505347610123,0.6362705465511715,0.25543177988547805,0.0,0.5689027546842338,0.6405794332438131,0.3345439212973643,0.6558461661110154,0.8081755544782212,0.6777772145377626,0.639394824852866,0.6029276055190862,0.666543212863129,0.9433257455070118,0.6939766045603506
how many of my reportees are in the office yesterday?,0.6354853459499671,0.8410488402837549,0.6675759997499291,0.4676895944786802,0.43287174581020305,0.5273690131573243,0.6308694064769682,0.5539574485146335,0.5689027546842338,0.0,0.07649817258772407,0.6767045927667054,0.553350872725386,0.7151643002791932,0.6892307733196509,0.4356967673771155,0.6382930270722385,0.6748937888344102,0.8656907433020031,0.6093916771813022
