,Unpaid leave count of Ram,anyone on leave next tuesday?,colleagues on leave,comp-off balance of ram,how many leaves my reportee has taken,how many members will be on leave on 9 th july,i want to see ram's leaves status,is there anyone on leave next tuesday in my team?,leave balance of Ram,my team mates who are on leave,show me team leaves for tomorrow,show the leave balance of my team,team leave,team leaves for last sunday,team leaves for next tuesday,team leaves last sunday,team leaves last wednesday,team leaves yesterday,team members on leave,view team members on leave,view the team leaves,who are on leave tomorrow,who is on leave in my team,who is on leave next monday,who is on leave next tuesday,who is on leave today,who is on leave tomorrow,who is on leave tomorrow?
Unpaid leave count of Ram,0.0,0.6924942851753337,0.6212300598248583,0.5630812342088967,0.6210528860579314,0.5930678508857505,0.5420173343662951,0.674148887188734,0.5106966550073128,0.7709229619273614,0.8676293861854686,0.5958723460276533,0.7687552659222825,0.814952072989151,0.8324897140621826,0.8218933394454397,0.8217998852337838,0.8087864123740898,0.6146625613365007,0.6763865736378365,0.8894828634668759,0.6576381335750189,0.6360286245336046,0.6797659864628929,0.6747637095316494,0.618769110128661,0.6551493884316628,0.6774096385028798
anyone on leave next tuesday?,0.6924942851753337,2.220446049250313e-16,0.4273686094293937,0.9709590953085189,0.8111644382199414,0.39552407270742196,0.9406255504217588,0.18977215060947727,0.9168807061029203,0.4519176313779365,0.7017832361787821,0.6454746008705727,0.6832822864903088,0.6191264733687885,0.5295492134162332,0.6061020411969057,0.5654136417590786,0.6079319074259744,0.44015724118299404,0.5892834657874793,0.8828893138380984,0.1909601208240005,0.46380444457145587,0.24584891856301794,0.2080023908860732,0.2535378445448987,0.21078216586872722,0.10768515996100847
colleagues on leave,0.6212300598248583,0.4273686094293937,0.0,0.9758650500064631,0.7365305156448079,0.4134614498899071,0.8799063797884994,0.3443195596982228,0.9294195914121025,0.24626868589502782,0.7419531834190849,0.5021297937530694,0.560890110178782,0.6198491426339838,0.5766843454643763,0.6340085592616456,0.5939672521279423,0.6021222652866721,0.15297383674866116,0.30503706568253564,0.7262474322021355,0.2925095777242833,0.2650640906331525,0.40046013254512935,0.3931065665665794,0.3040759844049309,0.35038687271893365,0.3790579625804005
comp-off balance of ram,0.5630812342088967,0.9709590953085189,0.9758650500064631,1.1102230246251565e-16,0.9429390728659579,0.9524832596576877,0.7567259507686337,0.9557382858438545,0.18855891949796777,1.0186455549693632,0.9911680341647722,0.8223297527878775,0.985847838998595,0.9981617943371182,0.9861320884656402,1.0207687605829565,1.0169494303111772,1.0029549283766321,0.975562750771115,0.9979188601855516,1.0446532222229552,0.9708730566429817,0.9622738536185095,0.9767060779459593,0.9590355657456991,0.9655349988359005,0.9640903496169834,0.9817883005239199
how many leaves my reportee has taken,0.6210528860579314,0.8111644382199414,0.7365305156448079,0.9429390728659579,0.0,0.6985916384374762,0.5980320194943882,0.7104488410520342,0.8989118805878424,0.7331726279030513,0.6913910070376741,0.4755071239067429,0.709543224044316,0.730590258050259,0.7779486739508163,0.7406571522091251,0.7204837911242957,0.7083687464946936,0.7516003281090882,0.6376064659824348,0.7022346372982785,0.6978473109136377,0.6244086609455091,0.7255281823715778,0.7210772685578473,0.6495960381593824,0.6711811311172292,0.7071143562659493
how many members will be on leave on 9 th july,0.5930678508857505,0.39552407270742196,0.4134614498899071,0.9524832596576877,0.6985916384374762,0.0,0.841257939891948,0.3857111279860055,0.8949317580716795,0.48982679175199073,0.7016603692448463,0.5091085343985249,0.5838803873402516,0.6418056641302243,0.5984471110046552,0.638403328641157,0.567590488337279,0.6301450472819722,0.3624240971637537,0.515168293502857,0.7911944043559693,0.3342417061150893,0.4338626953903464,0.40494896394024216,0.38727366962245624,0.3745828948033447,0.367049369721389,0.3743850836879301
i want to see ram's leaves status,0.5420173343662951,0.9406255504217588,0.8799063797884994,0.7567259507686337,0.5980320194943882,0.841257939891948,0.0,0.8155538117401806,0.684542210830656,0.8518428945637002,0.6630596260455792,0.6669442161439287,0.77098869710854,0.794565766128972,0.8257396074815966,0.7628414267563234,0.7571376062524026,0.7314871209178784,0.8553387689236883,0.6757603613424622,0.6973511008775102,0.8514196702764573,0.767918028174446,0.8743946645060955,0.8744727391503035,0.7939276089264136,0.8272092419972261,0.8484028362144808
is there anyone on leave next tuesday in my team?,0.674148887188734,0.18977215060947727,0.3443195596982228,0.9557382858438545,0.7104488410520342,0.3857111279860055,0.8155538117401806,0.0,0.9116298578037543,0.3027792878455692,0.5107624429098729,0.4690638563185823,0.48123770260939547,0.4395260307027107,0.3768860582337634,0.43868431569171895,0.40014708128676013,0.42204638287102014,0.28378215983032873,0.39549916999911783,0.7126944394759965,0.21141645646020646,0.207799588226391,0.2755607445024404,0.244957795289508,0.27069402994412073,0.2393906269743099,0.19767397756924043
leave balance of Ram,0.5106966550073128,0.9168807061029203,0.9294195914121025,0.18855891949796777,0.8989118805878424,0.8949317580716795,0.684542210830656,0.9116298578037543,0.0,0.9641667194436657,0.915237674821425,0.8007642943416681,0.8512362360058434,0.9027752729586737,0.8901134958273943,0.9149962289753003,0.9150131047457155,0.9092903445391869,0.9249857914769949,0.9845668951810882,0.961687888067551,0.9253516014121046,0.921994952310492,0.9374478346378329,0.9295767018959558,0.9331887055517474,0.9269881309007522,0.926119150488371
my team mates who are on leave,0.7709229619273614,0.4519176313779365,0.24626868589502782,1.0186455549693632,0.7331726279030513,0.48982679175199073,0.8518428945637002,0.3027792878455692,0.9641667194436657,0.0,0.6005497747572137,0.47707110586907064,0.48138273024698064,0.573862626407062,0.5381711042283084,0.5847421423300806,0.5363060961075545,0.5344365099208293,0.2653375610180979,0.3297521250296517,0.661155441396417,0.342391992459702,0.2338630361956353,0.4911571506130378,0.4925535522863612,0.37801027665764797,0.408871718037942,0.3397327714371682
show me team leaves for tomorrow,0.8676293861854686,0.7017832361787821,0.7419531834190849,0.9911680341647722,0.6913910070376741,0.7016603692448463,0.6630596260455792,0.5107624429098729,0.915237674821425,0.6005497747572137,0.0,0.49316704936635636,0.33230939352259425,0.2958316539462661,0.2783565802969883,0.2933073801409921,0.28457540486189636,0.23162925716391025,0.6209230464294753,0.5433220125199689,0.30730412674205587,0.5538246255181225,0.4958530851909301,0.6193310361720571,0.620326072547106,0.605268252230456,0.553243425210195,0.5912945711721806
show the leave balance of my team,0.5958723460276533,0.6454746008705727,0.5021297937530694,0.8223297527878775,0.4755071239067429,0.5091085343985249,0.6669442161439287,0.4690638563185823,0.8007642943416681,0.47707110586907064,0.49316704936635636,0.0,0.4184799286705463,0.6424236506266234,0.6100981181631122,0.6423514477940302,0.5997392003785197,0.5657572163251336,0.4434854221761896,0.3821080062064356,0.5508281216580795,0.5254294870614453,0.33244183735197264,0.6261702807053158,0.6158398724944016,0.5350688351667592,0.5619696839688232,0.5612204024345947
team leave,0.7687552659222825,0.6832822864903088,0.560890110178782,0.985847838998595,0.709543224044316,0.5838803873402516,0.77098869710854,0.48123770260939547,0.8512362360058434,0.48138273024698064,0.33230939352259425,0.4184799286705463,0.0,0.3319226648972503,0.30560203047054846,0.31637010392965637,0.297276507680151,0.22740003885726612,0.39706056257431044,0.5128916063214335,0.33178514216508825,0.5682025470098055,0.36296339420474466,0.6410819531954381,0.629310407246936,0.5897702495406872,0.5939796251588954,0.5963900620781935
team leaves for last sunday,0.814952072989151,0.6191264733687885,0.6198491426339838,0.9981617943371182,0.730590258050259,0.6418056641302243,0.794565766128972,0.4395260307027107,0.9027752729586737,0.573862626407062,0.2958316539462661,0.6424236506266234,0.3319226648972503,0.0,0.09333531301021247,0.03930605194057357,0.09435449704833054,0.13578532485063388,0.4776640329319589,0.5972350432579128,0.4501223299928758,0.5404306402324879,0.43538491272998336,0.5130075311644544,0.5200776068537825,0.5790652846131223,0.5347656385412253,0.5839759570180876
team leaves for next tuesday,0.8324897140621826,0.5295492134162332,0.5766843454643763,0.9861320884656402,0.7779486739508163,0.5984471110046552,0.8257396074815966,0.3768860582337634,0.8901134958273943,0.5381711042283084,0.2783565802969883,0.6100981181631122,0.30560203047054846,0.09333531301021247,0.0,0.08662406920750232,0.08382631457069223,0.14047539354413852,0.4310996066409123,0.5759415053663589,0.46436330746540455,0.48329141668292075,0.4046103022270302,0.44596114288391175,0.42665403510244815,0.5624704604786538,0.4834876854105684,0.5396859790763937
team leaves last sunday,0.8218933394454397,0.6061020411969057,0.6340085592616456,1.0207687605829565,0.7406571522091251,0.638403328641157,0.7628414267563234,0.43868431569171895,0.9149962289753003,0.5847421423300806,0.2933073801409921,0.6423514477940302,0.31637010392965637,0.03930605194057357,0.08662406920750232,1.1102230246251565e-16,0.049237557628063366,0.10376124920446772,0.48002821299451814,0.5889338722307584,0.4498615622592871,0.5427020150489078,0.43979276126061373,0.5231060023564748,0.5259452724323891,0.5881043808632165,0.5406607751707107,0.5868730520064207
team leaves last wednesday,0.8217998852337838,0.5654136417590786,0.5939672521279423,1.0169494303111772,0.7204837911242957,0.567590488337279,0.7571376062524026,0.40014708128676013,0.9150131047457155,0.5363060961075545,0.28457540486189636,0.5997392003785197,0.297276507680151,0.09435449704833054,0.08382631457069223,0.049237557628063366,1.1102230246251565e-16,0.0822153650059394,0.44025610223402845,0.544193118892341,0.4611967409041817,0.5136358976513558,0.4092377214071564,0.5093130109232502,0.5023626932031013,0.5562025484460689,0.5124801542136402,0.553940846182393
team leaves yesterday,0.8087864123740898,0.6079319074259744,0.6021222652866721,1.0029549283766321,0.7083687464946936,0.6301450472819722,0.7314871209178784,0.42204638287102014,0.9092903445391869,0.5344365099208293,0.23162925716391025,0.5657572163251336,0.22740003885726612,0.13578532485063388,0.14047539354413852,0.10376124920446772,0.0822153650059394,0.0,0.4594687686838562,0.5574704967915367,0.3996541646865288,0.5103559256444089,0.4067266841333679,0.5731163991295297,0.5752638727342332,0.5293604144215127,0.5175216494816031,0.5416991691014531
team members on leave,0.6146625613365007,0.44015724118299404,0.15297383674866116,0.975562750771115,0.7516003281090882,0.3624240971637537,0.8553387689236883,0.28378215983032873,0.9249857914769949,0.2653375610180979,0.6209230464294753,0.4434854221761896,0.39706056257431044,0.4776640329319589,0.4310996066409123,0.48002821299451814,0.44025610223402845,0.4594687686838562,0.0,0.20777827553315154,0.6104872516037989,0.31275170710906675,0.1715331047568095,0.3838780883037136,0.3793199282721694,0.30745817279270615,0.35096039220346287,0.40576176589862656
view team members on leave,0.6763865736378365,0.5892834657874793,0.30503706568253564,0.9979188601855516,0.6376064659824348,0.515168293502857,0.6757603613424622,0.39549916999911783,0.9845668951810882,0.3297521250296517,0.5433220125199689,0.3821080062064356,0.5128916063214335,0.5972350432579128,0.5759415053663589,0.5889338722307584,0.544193118892341,0.5574704967915367,0.20777827553315154,0.0,0.4692480715871915,0.43133823177817376,0.2620408847779847,0.5060889404754825,0.5000940591231424,0.39821732095097717,0.45473136365256606,0.5134583967391357
view the team leaves,0.8894828634668759,0.8828893138380984,0.7262474322021355,1.0446532222229552,0.7022346372982785,0.7911944043559693,0.6973511008775102,0.7126944394759965,0.961687888067551,0.661155441396417,0.30730412674205587,0.5508281216580795,0.33178514216508825,0.4501223299928758,0.46436330746540455,0.4498615622592871,0.4611967409041817,0.3996541646865288,0.6104872516037989,0.4692480715871915,0.0,0.7440392252768006,0.5867841055955749,0.8283171239116739,0.8136466261742243,0.7597074796370124,0.7635091644302561,0.7917144367622923
