,Show me all the events next Monday,event of october,event of second october,events ,events of second october,events today,show me the events,show me the events from 15th to 21st,show me today's events,view events,view the events for tomorrow,what all events are there today,what are the events for next friday,what are the events for next week
Show me all the events next Monday,2.220446049250313e-16,0.485167215343018,0.5223398724872244,0.3988907768496114,0.6024944363308989,0.3743524312970663,0.36925566570114754,0.4026967424754949,0.2298664291071888,0.5093137621667394,0.2912836104432225,0.3371051388718179,0.2528763204784513,0.203153534762487
event of october,0.485167215343018,0.0,0.09201905191378235,0.3516426984938045,0.15441565143504588,0.3234260060063342,0.454049424552863,0.35843344517736464,0.41759162232435854,0.5418203164182495,0.5257048702187013,0.3928547580137345,0.4251206210079458,0.43643109411302505
event of second october,0.5223398724872244,0.09201905191378235,0.0,0.40011590864223723,0.04175770210029861,0.34837172406491324,0.4434040654193271,0.3408478867896161,0.44178907111502863,0.5497189499453233,0.5391506807062227,0.42527644657984964,0.4806103615820241,0.5046658369947474
events ,0.3988907768496114,0.3516426984938045,0.40011590864223723,0.0,0.48308863675335,0.2603492510660784,0.34273469670501666,0.47619837389691344,0.37035013882725965,0.37696754631284557,0.4298476176503774,0.3161921522608332,0.40000179766429733,0.32187836363918065
events of second october,0.6024944363308989,0.15441565143504588,0.04175770210029861,0.48308863675335,0.0,0.3859855109109447,0.5196075367933981,0.3839717687244856,0.5091273809804882,0.6078565077137007,0.6168502788966372,0.476976264093668,0.5546241405100576,0.5959279941103401
events today,0.3743524312970663,0.3234260060063342,0.34837172406491324,0.2603492510660784,0.3859855109109447,0.0,0.36443299845788846,0.3286349778660316,0.1430379892647825,0.4543897863892582,0.28608595358945477,0.16418312632823773,0.35809548764415433,0.3047533750326329
show me the events,0.36925566570114754,0.454049424552863,0.4434040654193271,0.34273469670501666,0.5196075367933981,0.36443299845788846,0.0,0.3605113409066726,0.28339407852099263,0.4279723562065677,0.45790814652318534,0.4157666411323938,0.5373731613654589,0.4471188939031304
show me the events from 15th to 21st,0.4026967424754949,0.35843344517736464,0.3408478867896161,0.47619837389691344,0.3839717687244856,0.3286349778660316,0.3605113409066726,0.0,0.3087297808854258,0.5592842622036893,0.4509091806177892,0.37373389381371813,0.40555603059066114,0.4253119361917046
show me today's events,0.2298664291071888,0.41759162232435854,0.44178907111502863,0.37035013882725965,0.5091273809804882,0.1430379892647825,0.28339407852099263,0.3087297808854258,1.1102230246251565e-16,0.43044886606697796,0.20678792529051448,0.21886395099237965,0.3762001291423497,0.29444281683005125
view events,0.5093137621667394,0.5418203164182495,0.5497189499453233,0.37696754631284557,0.6078565077137007,0.4543897863892582,0.4279723562065677,0.5592842622036893,0.43044886606697796,0.0,0.31861370036452286,0.49372511656840534,0.6374769008528578,0.5736251342250172
view the events for tomorrow,0.2912836104432225,0.5257048702187013,0.5391506807062227,0.4298476176503774,0.6168502788966372,0.28608595358945477,0.45790814652318534,0.4509091806177892,0.20678792529051448,0.31861370036452286,2.220446049250313e-16,0.350243450997898,0.39614000155186224,0.35977783905243255
what all events are there today,0.3371051388718179,0.3928547580137345,0.42527644657984964,0.3161921522608332,0.476976264093668,0.16418312632823773,0.4157666411323938,0.37373389381371813,0.21886395099237965,0.49372511656840534,0.350243450997898,0.0,0.374539035166629,0.3033524966362988
what are the events for next friday,0.2528763204784513,0.4251206210079458,0.4806103615820241,0.40000179766429733,0.5546241405100576,0.35809548764415433,0.5373731613654589,0.40555603059066114,0.3762001291423497,0.6374769008528578,0.39614000155186224,0.374539035166629,0.0,0.15534433673146164
what are the events for next week,0.203153534762487,0.43643109411302505,0.5046658369947474,0.32187836363918065,0.5959279941103401,0.3047533750326329,0.4471188939031304,0.4253119361917046,0.29444281683005125,0.5736251342250172,0.35977783905243255,0.3033524966362988,0.15534433673146164,0.0
