,APPRAISAL,Goal Sheet,JUST WAT TO KNOW MY KRA GOAL SHEET HAS BEEN SUBMITTED OT NOT,Performance option is not showing,Please confirm my goal setting approved by manager or not,Your Performance cycle is yet to be assigned,appraisal,check goal plan,goal plan,how to check potential,ratings,see goal plan,view goal plan,view goal plan\,view my goal plan,view ratings,want to see L2 manager rating,what is metric in performance,what is my goal plan,where to find rating history
APPRAISAL,0.0,0.841854033926601,0.9057363495285886,0.9176482995557192,0.9001225052520346,0.8321873542389531,0.0,0.8367800081685997,0.8400169397021608,0.8666134038663131,0.6021098205470492,0.860934893434336,0.8970660092052178,0.8258416069026747,0.859451095500398,0.7266551964501011,0.6954941298906773,0.8329714202784841,0.8440396186747219,0.731836980113885
Goal Sheet,0.841854033926601,0.0,0.5109694146415885,0.9735270330443568,0.8006797714841027,0.9072346203537449,0.841854033926601,0.7210285301978152,0.6540971621202936,0.9406211526310032,0.7879208706131468,0.7011505789366035,0.7556123716682195,0.7308553440632505,0.7448230597343954,0.8567015769204626,0.7244610571202901,0.8458429954979714,0.8022529266536145,0.9009547897768686
JUST WAT TO KNOW MY KRA GOAL SHEET HAS BEEN SUBMITTED OT NOT,0.9057363495285886,0.5109694146415885,0.0,0.8147872625027519,0.6111314297432551,0.7131012942278833,0.9057363495285886,0.6471940114271664,0.7809018476969906,0.8634407257986149,0.847647715768884,0.7289966704102961,0.8703057290523744,0.8215356831787017,0.7290504731051293,0.904803869336847,0.6954690818388669,0.848128014259762,0.771928367212475,0.8772563014631415
Performance option is not showing,0.9176482995557192,0.9735270330443568,0.8147872625027519,0.0,0.7293025137469014,0.45120201749293676,0.9176482995557192,0.8112803002991937,0.9194235206913394,0.9270977063655952,0.9188297574835578,0.8289386887600765,0.8780752949190982,0.8243292992290795,0.7891191903007051,0.8937893689185545,0.784246978087904,0.6207546140708611,0.9411246606623931,0.9172431158829016
Please confirm my goal setting approved by manager or not,0.9001225052520346,0.8006797714841027,0.6111314297432551,0.7293025137469014,0.0,0.7127890307307005,0.9001225052520346,0.3825501857747444,0.5020732125187293,0.9153216742120035,0.8855178158991751,0.5035197027447045,0.5955147408115415,0.5711236012035743,0.47010166510454376,0.9021268365703705,0.6477078072224544,0.8004466347808604,0.5069522944125302,0.9245256776390982
Your Performance cycle is yet to be assigned,0.8321873542389531,0.9072346203537449,0.7131012942278833,0.45120201749293676,0.7127890307307005,0.0,0.8321873542389531,0.667620200029948,0.7453940868630189,0.9412470700206061,0.9354564776491944,0.7251999515801895,0.8361203953757718,0.7429490146643439,0.6942019746792709,0.9786512963811089,0.8073055734340111,0.6457995784133357,0.7616550454809732,0.9565041079531795
appraisal,0.0,0.841854033926601,0.9057363495285886,0.9176482995557192,0.9001225052520346,0.8321873542389531,0.0,0.8367800081685997,0.8400169397021608,0.8666134038663131,0.6021098205470492,0.860934893434336,0.8970660092052178,0.8258416069026747,0.859451095500398,0.7266551964501011,0.6954941298906773,0.8329714202784841,0.8440396186747219,0.731836980113885
check goal plan,0.8367800081685997,0.7210285301978152,0.6471940114271664,0.8112803002991937,0.3825501857747444,0.667620200029948,0.8367800081685997,0.0,0.16270130502016367,0.8404310808780182,0.9070147283609319,0.12969130872956158,0.30001055815991784,0.23787273947937204,0.12339921464933223,0.9068140650909186,0.7370727329357016,0.7523029261745849,0.24860015550851533,0.8986793214855275
goal plan,0.8400169397021608,0.6540971621202936,0.7809018476969906,0.9194235206913394,0.5020732125187293,0.7453940868630189,0.8400169397021608,0.16270130502016367,1.1102230246251565e-16,0.9780007254834251,0.8733835352989465,0.09625968274916497,0.25088727910745157,0.2396798047498654,0.20680337020503936,0.8990879629427602,0.8148304908043946,0.779428224848359,0.22701405773108974,0.9884424191356448
how to check potential,0.8666134038663131,0.9406211526310032,0.8634407257986149,0.9270977063655952,0.9153216742120035,0.9412470700206061,0.8666134038663131,0.8404310808780182,0.9780007254834251,0.0,0.9177444233316961,0.9185141324034211,1.001597999271741,0.9635360870319627,0.9049481979146304,1.0107181387048039,0.8600736848609897,1.0124945623103139,0.9455461854509977,0.896953628482619
ratings,0.6021098205470492,0.7879208706131468,0.847647715768884,0.9188297574835578,0.8855178158991751,0.9354564776491944,0.6021098205470492,0.9070147283609319,0.8733835352989465,0.9177444233316961,0.0,0.9026638516479222,0.9173978148669746,0.915578276366892,0.9220676410607898,0.3113636182617626,0.5057462948642,0.7790955635880535,0.9340159226421736,0.43457750432001896
see goal plan,0.860934893434336,0.7011505789366035,0.7289966704102961,0.8289386887600765,0.5035197027447045,0.7251999515801895,0.860934893434336,0.12969130872956158,0.09625968274916497,0.9185141324034211,0.9026638516479222,0.0,0.27389780315399037,0.2206557544189377,0.1530278498386427,0.8814915064068299,0.7640611297104855,0.7756135511926211,0.24038310012628927,0.939784667805752
view goal plan,0.8970660092052178,0.7556123716682195,0.8703057290523744,0.8780752949190982,0.5955147408115415,0.8361203953757718,0.8970660092052178,0.30001055815991784,0.25088727910745157,1.001597999271741,0.9173978148669746,0.27389780315399037,0.0,0.07247306103172324,0.25380144340642086,0.6882665783543046,0.8307234657627305,0.8260749777925649,0.44659639708460785,0.9590943020829492
view goal plan\,0.8258416069026747,0.7308553440632505,0.8215356831787017,0.8243292992290795,0.5711236012035743,0.7429490146643439,0.8258416069026747,0.23787273947937204,0.2396798047498654,0.9635360870319627,0.915578276366892,0.2206557544189377,0.07247306103172324,0.0,0.20821323383553447,0.7539397410493582,0.7845819071161775,0.7466286822559955,0.40639704402379007,0.9358568068058161
view my goal plan,0.859451095500398,0.7448230597343954,0.7290504731051293,0.7891191903007051,0.47010166510454376,0.6942019746792709,0.859451095500398,0.12339921464933223,0.20680337020503936,0.9049481979146304,0.9220676410607898,0.1530278498386427,0.25380144340642086,0.20821323383553447,0.0,0.8755428437912186,0.7172190083915124,0.7765073254115779,0.2279419131349636,0.8595835838272994
view ratings,0.7266551964501011,0.8567015769204626,0.904803869336847,0.8937893689185545,0.9021268365703705,0.9786512963811089,0.7266551964501011,0.9068140650909186,0.8990879629427602,1.0107181387048039,0.3113636182617626,0.8814915064068299,0.6882665783543046,0.7539397410493582,0.8755428437912186,0.0,0.5845059239701607,0.8005881687613048,0.9507492176506097,0.5003086874025717
want to see L2 manager rating,0.6954941298906773,0.7244610571202901,0.6954690818388669,0.784246978087904,0.6477078072224544,0.8073055734340111,0.6954941298906773,0.7370727329357016,0.8148304908043946,0.8600736848609897,0.5057462948642,0.7640611297104855,0.8307234657627305,0.7845819071161775,0.7172190083915124,0.5845059239701607,0.0,0.7854171704400266,0.8465256432951773,0.48687084576442874
what is metric in performance,0.8329714202784841,0.8458429954979714,0.848128014259762,0.6207546140708611,0.8004466347808604,0.6457995784133357,0.8329714202784841,0.7523029261745849,0.779428224848359,1.0124945623103139,0.7790955635880535,0.7756135511926211,0.8260749777925649,0.7466286822559955,0.7765073254115779,0.8005881687613048,0.7854171704400266,1.1102230246251565e-16,0.8242738266703649,0.9144301428378501
what is my goal plan,0.8440396186747219,0.8022529266536145,0.771928367212475,0.9411246606623931,0.5069522944125302,0.7616550454809732,0.8440396186747219,0.24860015550851533,0.22701405773108974,0.9455461854509977,0.9340159226421736,0.24038310012628927,0.44659639708460785,0.40639704402379007,0.2279419131349636,0.9507492176506097,0.8465256432951773,0.8242738266703649,1.1102230246251565e-16,0.9900209597871648
where to find rating history,0.731836980113885,0.9009547897768686,0.8772563014631415,0.9172431158829016,0.9245256776390982,0.9565041079531795,0.731836980113885,0.8986793214855275,0.9884424191356448,0.896953628482619,0.43457750432001896,0.939784667805752,0.9590943020829492,0.9358568068058161,0.8595835838272994,0.5003086874025717,0.48687084576442874,0.9144301428378501,0.9900209597871648,0.0
