,Allow me to edit mt reportee's goals,Check my goals,Display goals and their weightages,Goals or Kra,How do I find my goals,How to find my KRA,I want to check my goal weightages,I want to see Naveen's Goal Sheet,I want to see my Goal Sheet,I want to view my goals,KPI,KRA,KRA data,KRA records,KRA show,KRA view,My goals for this year,Observe my goal,Open Vivek's appraisal page,Open my appraisal page,Open my performance Page,Performance goals,Show Shilpi's Goals,Show me the goals assigned to my reportees,Show my Goals,Show my competencies,Show my goals,Show my reportee's competencies,Show my reportee's goals,Take me to my goals,Update Sambit's achievement,Update achievement,View Vivek's goals,View my Targets,View my goals,What is my KRA,Where are my goals,Where can I find goal descriptions,access my goals,can i edit my goals,can you tell me how to edit my goals,check goals,check my goals,check vivek's performance goals,display goal,display my goal,evaluate my goal,evaluate my kra,find my goals,finding KRA,finding goals,give me my goals,give my goals,goal,goal dashboard,goal data,goal display,goal records,goal section,goal set by me,goal set by my manager,goal show,goal view,goal view page,goal view screen,goals set by manager,goals set by me,goals tab,h1 okr,have I achieved my goal,have I met my KRA,have I met my goal,have I reached my KRA,have I reached my goal,have I realized my goal,how can I see the goals,how can i edit my goals,how many goals do i have this year?,how to download kra report,i want see sahith's goals,i want to see goals,kpr,kra dwonload,kra section,let me edit my goals,list down my goals,look into my goals,look into my kra,mandatory field in kra sheets,my KPI,my goal data,my goal list,my goal records,my target,observe my kra,page having my goals,performance cycle,performance goals,please edit my goals,read my KRA,read my KRAs,read my goals,retrieve goals,sahith's goals,show my KRA,show my KRAs,show my goal dashboard,submit Objective & key results,view goals,view rohit goals,view sanjay goals,view sanjay's goals,vivek's goals,watch my KRa,watch my goals,what are ashok goals,what are my goals,what are sahith's goals,what goals to achieve,where are my goals,where can I find my goals,where can i see sahith's goals,where is goal,where is the goals tab,which goals to achieve
Allow me to edit mt reportee's goals,0.0,0.6820003932788451,0.7147999147138385,0.745638663769481,0.717149303009363,0.9237788485193745,0.8017037419487475,0.8250258327181031,0.7766861703423105,0.6191698662576903,0.9472536500647337,0.9248141398956633,0.9180588691668553,0.9340340284209824,0.9553411592909941,0.8883192970584803,0.7644155481141957,0.610059051985944,0.8673753756815643,0.8488802044700201,0.8724488476523121,0.6395090718863957,0.7400871296969593,0.4064490702289587,0.6153019544127585,0.9064431397903067,0.6153019544127585,0.5777474629223236,0.29919060209881343,0.718470106365729,0.6498644504039985,0.6477735531831605,0.7128143434209844,0.7599955427930568,0.5449487067074146,0.9499755698785217,0.686195052115756,0.6077449992460224,0.5107881749541577,0.3887667220198193,0.4406457510879632,0.7307954588475907,0.6820003932788451,0.7327392525546959,0.7746737273438236,0.7169049169589382,0.6116519331672619,0.8773907100697014,0.6824645392657238,0.9280629393850205,0.6198269915493502,0.7357719513752944,0.6573141421712829,0.761567180386883,0.611547282260209,0.5730367182917506,0.8455981728430615,0.7859036370780516,0.7303159273579193,0.5542932562437998,0.5576684028638106,0.7846743554093745,0.6274737812351778,0.589236186862855,0.7557758725423519,0.5332928441726223,0.5354551039816636,0.682665285703339,0.9288045101679623,0.7197057154969673,0.8831279514518653,0.7300244832090526,0.8963452443646113,0.7397670269678173,0.7180122706598111,0.7605836261488621,0.4060518349830552,0.8680724304488265,0.7865484917738438,0.7541563171796738,0.728058467183615,0.9488889892686545,0.9922467646381681,0.8738539719687929,0.3922430690768244,0.6695952018981606,0.6813033697608124,0.9183068588837316,0.866653533286622,0.9490894095868921,0.5780696662252751,0.6451820691902468,0.749716346171132,0.7393864535817347,0.887866552433156,0.5736585336186242,0.9027326484121231,0.6395090718863957,0.4655939433068552,0.8377884219241696,0.9066455132148445,0.6212052853432086,0.6160275126266116,0.8324215894529552,0.9273170630941615,0.9631833864919757,0.6077611871653457,0.6635661406293232,0.5592453274810272,0.7713615844724327,0.6479286968155114,0.6951187644286355,0.7839133201572032,0.924358342082969,0.819430979977414,0.7134583831261778,0.7289452723540599,0.7889602324855863,0.5863466362158164,0.686195052115756,0.6774504845687483,0.8029997509626288,0.739101329230923,0.6576778490638167,0.5953472420480286
Check my goals,0.6820003932788451,0.0,0.5821827419356759,0.45425192837374706,0.4699372227670129,0.7477183697688026,0.5731449893754199,0.6399244189342207,0.4669443728037075,0.37614240213018346,0.8142488760919816,0.8585738929227967,0.85249279589736,0.8526833786393957,0.9166960082089153,0.8473775116285558,0.45735671804447564,0.3383497762798755,0.8141385390671172,0.8039799789565312,0.722474349683985,0.5608689322081626,0.6417802326566839,0.5674168355465461,0.262025341803819,0.6694214619309837,0.262025341803819,0.8552341036170935,0.5866716012283907,0.4514406883442762,0.6502381897911124,0.5699449397553003,0.5112654372098416,0.6722678576498795,0.25516685026765573,0.7754582412561523,0.28897028098372735,0.514150260643419,0.3909935232452453,0.4753486761507266,0.4064801922146519,0.28475466931360915,0.0,0.5113804349691171,0.5329085181489079,0.40066398426538286,0.4037776674784681,0.7118395504260507,0.37887234807149783,0.8063718133834886,0.4156860126910179,0.35644522854261773,0.23251174494103954,0.4251096691093914,0.4784185088072692,0.4967560432856576,0.5575438758586919,0.42443168739525106,0.5359838191466091,0.325650649696536,0.5727102090615048,0.5264660198617764,0.5220894109361116,0.5325549828801079,0.5971166286223265,0.5998244289257408,0.34671566475340787,0.43205464982841846,0.7484856092474437,0.4214748988464184,0.7865449170843026,0.4290991093043751,0.6556245452041254,0.4032617125775595,0.48115935807768684,0.43274520885657974,0.4680074136620358,0.3606305751503932,0.9089472955326183,0.558937877679951,0.4007570530740343,0.7252586392796587,0.8299682269133735,0.8597275823148676,0.3117109167572871,0.34856942258263646,0.1967407847493814,0.6747717117604309,0.9607299459847587,0.6677556643326329,0.39640089073786755,0.3966287919038721,0.24944369644174846,0.5107912735126667,0.740445142026938,0.5018603530715763,0.7825539335236175,0.5608689322081626,0.22983290458577166,0.6801750359866797,0.7192518999161042,0.18513617080396516,0.4967103175182558,0.5721193563102267,0.7329983812595616,0.7544693383922298,0.4966552547197267,0.7060414376593243,0.5620927191740318,0.5535849387197063,0.6079855032901127,0.6550724444471977,0.5379170935624142,0.7339628808963097,0.29231535847857004,0.6875959676424851,0.440452215742418,0.7130594748380066,0.49001372837250334,0.28897028098372735,0.39296204672291135,0.5456868585959151,0.493155099684881,0.5025335099046974,0.5156281174828992
Display goals and their weightages,0.7147999147138385,0.5821827419356759,0.0,0.6328636690255154,0.7050693619126931,0.9206684460104945,0.4915237047067885,0.7006973108555329,0.6193667746550595,0.5080036329765967,0.8215857327474863,0.9876633143609272,0.9181934027802192,0.987015703773697,0.9980108705272954,0.9121000207444769,0.7088415573191316,0.5942273121685353,0.8377853828834311,0.8595932819411548,0.8078976648026882,0.6630518407828001,0.7678630514845355,0.5624769468471702,0.5346556399410625,0.8742846655877015,0.5346556399410625,0.8477358322015255,0.5802957290952729,0.7517779334970127,0.8062396111709149,0.7435089817873025,0.6540769377661132,0.7351585284088545,0.46187328027942276,0.9263256956918074,0.6496475105219153,0.571480560571956,0.6076549533299994,0.6393575842049015,0.5991988989713022,0.5305849110228722,0.5821827419356759,0.6750705596076519,0.4497900117978645,0.41344421410495813,0.6358624034904097,0.884465125568704,0.677267799769135,0.9697762564395063,0.6392910798399851,0.7384491903514845,0.6100119769619048,0.6713074145297808,0.4141602455454322,0.5206313464291195,0.4269117254794764,0.6007725820017182,0.5528428552728233,0.6337417239521685,0.6974927200603354,0.5240992613640247,0.5819413130949238,0.5001323465076288,0.4655433562829028,0.6589922130275939,0.6488902862146511,0.46250075602708485,0.8762249310691096,0.7733411407115959,1.0370011775911707,0.7695225561082555,0.9749475376586921,0.7644319237514003,0.8220447751020398,0.5066600114132926,0.6180404667442625,0.6299194590371139,0.9817697044525863,0.70082730390897,0.5025147280064673,0.8030010070132978,0.9007371765620934,0.9396478425514315,0.5769661167849919,0.6849219279741282,0.6272841416849542,0.9083623596176985,0.8783373709368199,0.8133254899945577,0.5317160355471335,0.6371113355022411,0.5656792536858091,0.8160286448973068,0.9198383822658852,0.6601165536255793,0.8527382386312503,0.6630518407828001,0.5869334151677918,0.9364268860009759,0.8924349197527324,0.5476038252125008,0.5937656033401366,0.7334156835069842,0.90710434239302,0.8773552447600207,0.4761057415829326,0.794249397485559,0.6091779134135524,0.6562835237943924,0.8181473620509698,0.8548629779161497,0.6887878818376659,0.9486129764276529,0.6154730772924879,0.8227815440669153,0.7850569524694673,0.879095403768131,0.7310006566074574,0.6496475105219153,0.6653922043574618,0.6905926652386204,0.6316465459005021,0.5330356047088979,0.7368096511486961
Goals or Kra,0.745638663769481,0.45425192837374706,0.6328636690255154,0.0,0.714550848143133,0.5518958500893042,0.8256667286036411,0.6433911950127018,0.6152810846603585,0.6135003131311758,0.6441982306160261,0.38332243461437143,0.49378485590816235,0.5004531857777424,0.5555356573071908,0.4999903450668136,0.6375172781468796,0.6289757658314177,0.8215221667685364,0.9029471727239666,0.9073864396475988,0.6019778562219751,0.7244324312990451,0.7287876035610295,0.5206324054038083,0.8293201551755848,0.5206324054038083,0.9137097374282145,0.7285351498768141,0.6113650007029439,0.7940367159660963,0.7598052896383318,0.5379653378446162,0.8180731735468154,0.5664441863424368,0.41563540455783,0.5708758556253182,0.6213574736668557,0.6569367841534148,0.6690092115902158,0.6364949797358443,0.42433567049188736,0.45425192837374706,0.5990597321223481,0.5545874538231257,0.5676797509790494,0.6545166346452831,0.49073449599243113,0.6481300887963029,0.4593907900874652,0.6006472705056624,0.5609413407446744,0.42183509699330024,0.47121209395607444,0.589000501257828,0.5773827296945682,0.5492507915643241,0.48104493171748497,0.5102968843231461,0.5787816293218442,0.7310486648600818,0.5340525846293709,0.5575698530733112,0.6569232807915794,0.6288517747821263,0.6468261811167211,0.585310124353057,0.4677205600126012,0.7199825858061738,0.7584696276595578,0.5601869645663003,0.7663523515352059,0.5099090486780808,0.7503098096780805,0.7921069994512997,0.526115292355086,0.679686063237095,0.5516148543270104,0.6849563010463707,0.5473961868534478,0.4169250783935855,0.48475255968136066,0.5597425813398569,0.4535341482392993,0.5612148660591467,0.5830446437572905,0.45758893718156946,0.44279073603702734,0.6679065425970574,0.62989132934215,0.6365520064596912,0.5919617337825955,0.47999890858432026,0.6867713628582753,0.49089965562513016,0.7028680671408545,0.7710217686840906,0.6019778562219751,0.5057855643040805,0.44090156759683097,0.59728326292244,0.45306403264527273,0.5763706389214838,0.5607321615095197,0.48036224252291027,0.6349097016908174,0.7269601954624827,0.7110884094502459,0.6447416519230531,0.5305618209938447,0.6921747207999592,0.7627837295487433,0.507554636975587,0.4963074337164034,0.4579768277208114,0.7268859487860397,0.6450150598405923,0.7599452186976858,0.654185014327612,0.5708758556253182,0.6709951953888,0.5728423802861091,0.5604352885261716,0.5888834685167443,0.618947057459106
How do I find my goals,0.717149303009363,0.4699372227670129,0.7050693619126931,0.714550848143133,0.0,0.6867888068746411,0.6278737876250211,0.8510740211077212,0.706251474891701,0.4171942251768167,0.9374972815873474,0.9589002486130319,0.9223860771417953,0.9945847688421278,0.9959655116307373,0.9425422268381304,0.4838040621535795,0.41607999915131255,0.9384490066299603,0.9059995980364152,0.8111034608896154,0.5460490735580612,0.6577817529740926,0.5171223443404067,0.36957964958663825,0.7251075364894717,0.36957964958663825,0.8465302922679527,0.5620122756052591,0.5411852108244701,0.8222606681284462,0.7520060901147756,0.6353996291170714,0.6764310013216976,0.3481008724967286,0.8567114276347935,0.180792379166393,0.4537154611996056,0.3701115035315765,0.5303609008910412,0.3622541478163189,0.6443106799840925,0.4699372227670129,0.6474531382026961,0.7596961202999513,0.6095020129395308,0.3920195735926285,0.8285007708581009,0.04861051431093755,0.8143760979279331,0.1281490865551116,0.4554158884523347,0.4373370774139308,0.7205850586572611,0.5503613237659277,0.5243350037561407,0.8002170929855408,0.7896239048067052,0.7103678350078851,0.4797858923183539,0.5796643988009593,0.7693236114574634,0.5678649359093757,0.586345925913726,0.720202988082391,0.5467518848365951,0.33929229724556254,0.6405990521728161,0.9925521870615822,0.49235749469850354,0.8491592912439228,0.4933252964370052,0.714766315105709,0.5068813818215161,0.4493692108127547,0.5789589590733559,0.3758700312504394,0.6045984957673165,0.9248394049011197,0.7237372717805195,0.6573310511022687,0.9198431195239835,0.9865643721715098,0.92573610823534,0.45055476322718135,0.34899528198530694,0.41508101942347186,0.8436302888451794,1.0299841299367645,0.8164965187473274,0.438561437895559,0.4422385395261299,0.6277973644845165,0.6630016582165117,0.8853261909948249,0.477123945358117,0.842166234853269,0.5460490735580612,0.4841559138593192,0.8754252375154136,0.8248010759375516,0.44140982049945054,0.5908482648275697,0.7340313785281756,0.9276864128651173,0.8750898391467326,0.5092306407763889,0.7234070637544685,0.52871449689151,0.8056467340632623,0.6325292511108147,0.6327764902112458,0.7014397623427404,0.8975132524090755,0.6439142730699121,0.6141454853917251,0.2567973793091842,0.6862084036428363,0.309740487617554,0.180792379166393,0.10982596572153891,0.6834700050632164,0.5777057551826972,0.5356206514904525,0.3293925875322783
How to find my KRA,0.9237788485193745,0.7477183697688026,0.9206684460104945,0.5518958500893042,0.6867888068746411,0.0,0.6227015251477679,0.816750474720929,0.687696859007775,0.6563250292457963,0.62794889657349,0.37523334770763805,0.3073484854532573,0.46781319844166425,0.5068458634047226,0.47654026107277225,0.8558430299417439,0.7503664716453258,0.8400221353454096,0.7157935575752552,0.6955011145125969,0.8679748133727039,0.8844466716261323,0.7465923152941093,0.7873030391881276,0.8093889093543007,0.7873030391881276,0.8977195040397228,0.8870494599509786,0.8746032010417675,0.8283991591681493,0.8113774366033304,0.9053377930216024,0.6915198600889039,0.6992110268771091,0.19057969846428957,0.7117934779771404,0.7583922396959744,0.6501548175928951,0.8623653637955769,0.7580088148138237,0.7453785546333784,0.7477183697688026,0.8219785510643584,0.9037864386021991,0.7774912401012039,0.7373100468670877,0.2692360492320709,0.7123531597223753,0.15308741948968607,0.8028826496666135,0.8412526968451781,0.8124335185857776,0.9411904377788368,0.7810147060062854,0.80478171117042,0.958601481341451,0.9249910249826001,0.8852792774023248,0.8618719176426423,0.9048813983382986,0.9454432611353637,0.938199703770958,0.8679124452340278,0.9136718175979224,0.9417993570831331,0.8281712839745565,0.8676014945800178,0.8543474928902822,0.8144422494853583,0.42277357712448593,0.8247137902532129,0.3575042826842455,0.8149093234903034,0.855931752046444,0.7187705914017531,0.7681705113456937,0.7799513214491312,0.3543600350484003,0.839115815673015,0.8729296045589586,0.7244949728274492,0.567377422736851,0.35100535070722816,0.8161075673451195,0.8204732729279948,0.7592641696217655,0.2845286958316049,0.606829852974339,0.5363505957346072,0.6950638318893966,0.8327286794827148,0.8203770534494186,0.8257288899454748,0.37006559220412094,0.8713300279922671,0.8585361152438251,0.8679748133727039,0.8623759049043354,0.3743681569609779,0.48979599087751,0.780020592959975,0.7709834650162384,0.9375358378294211,0.379264204718493,0.4560568717449348,0.7184504697480358,0.7527071148693139,0.9189534182072838,0.8595946986927375,0.8471982514255365,0.871183120935577,0.9805297701038018,0.4083554132943369,0.7909828857269462,0.9046644679153949,0.7674994706277292,0.9767090838946325,0.8735174201098672,0.7117934779771404,0.6318007693777977,0.7706204183760639,0.8395430789740733,0.7710769536479217,0.8682687800453864
I want to check my goal weightages,0.8017037419487475,0.5731449893754199,0.4915237047067885,0.8256667286036411,0.6278737876250211,0.6227015251477679,0.0,0.7635610002094596,0.62623914975206,0.44790219251120234,0.8263616469378987,0.9372516420583328,0.8006067268145073,0.9444471966324369,0.9578585541413167,0.926855320780635,0.6330237947149095,0.5354026198955499,0.8078526855735406,0.7337485165019455,0.554099838931077,0.6941157839409305,0.8377037997303993,0.6194397801794584,0.6409681129915636,0.8568242206728653,0.6409681129915636,0.9052365222371732,0.7351810448413763,0.7566854283900193,0.8093095746401512,0.7768594600497702,0.8016268323122862,0.6643335758370053,0.49667677739340843,0.7729370855839182,0.6183506311731598,0.6097706600997379,0.5378349560554432,0.68664001084431,0.5758494895872097,0.6371217408537864,0.5731449893754199,0.6676124701457562,0.7893179121591779,0.6512873337930996,0.5859576747752997,0.7570055077868524,0.6394408090959329,0.8174142464348068,0.7093539560611632,0.6797173615402081,0.6793195539415302,0.8152252057955937,0.5845653548213001,0.6214254469464029,0.8147462781409298,0.8261292232772336,0.7641222230983359,0.6372615258286921,0.6897032022563205,0.813754174635085,0.7905558790250586,0.6395196949778441,0.7482949517419386,0.7626574558777435,0.6512030616722644,0.707574743797933,0.8690759747693189,0.6732772984897939,0.980658486875058,0.6605261530083728,0.8032077438032121,0.6435685990439155,0.7959730203164808,0.61156593736829,0.6088692003982006,0.697858322645937,0.7417449647692953,0.7543525920413977,0.6995460434303432,0.9295983030688957,0.7989299693543855,0.8625131696622563,0.6274910952292045,0.6789369758084415,0.6067517436565972,0.7301069119568295,0.9186388795223863,0.6911386402159234,0.4482472363232358,0.5891962337263925,0.6515215086834416,0.7014340924255711,0.8797886557371272,0.6912705556004742,0.8302105547974006,0.6941157839409305,0.646955167527633,0.846473524567998,0.8266049110327871,0.6160745208091398,0.7072804770333392,0.8415746083938511,0.8911175911862615,0.8238921201982532,0.5252533611225779,0.7923245062253556,0.7642700328469473,0.8289429556214736,0.8027322070823268,0.8173452282160131,0.862347911088306,0.8798353284827284,0.7333765549859039,0.7913610516827935,0.6934969926073273,0.9001888381003811,0.7180245164281187,0.6183506311731598,0.5374458268796077,0.7255513014088606,0.7434002416427248,0.631793972740742,0.7273345952996422
I want to see Naveen's Goal Sheet,0.8250258327181031,0.6399244189342207,0.7006973108555329,0.6433911950127018,0.8510740211077212,0.816750474720929,0.7635610002094596,0.0,0.3071571128768589,0.5396993304653155,0.8586008685174746,0.8557652615040818,0.8436369461765938,0.8789821374327683,0.900913481707003,0.7831802926099316,0.7891968818324966,0.7053608709076215,0.6181806882058918,0.8409870423545889,0.8274301214724942,0.8836054735219326,0.7238177494673184,0.7480476899773258,0.652627949877628,0.878214684199158,0.652627949877628,0.8880015775230178,0.7584916749443127,0.7979453449962635,0.8512249019067224,0.8596923967946605,0.4982956076477306,0.7877761577306275,0.6037349447669734,0.8885871848418785,0.732021331584769,0.6589780697506562,0.701928199941858,0.7911858912288696,0.7814870299700238,0.5549399174435741,0.6399244189342207,0.5958482235124718,0.5142705749369256,0.5268646078944828,0.8368032950852528,0.8974295594175189,0.8087144698343722,0.8764352867499827,0.8318550234286739,0.725774332437866,0.6067589960294257,0.6064943282312798,0.6178760204117213,0.7168995831525213,0.5594846129973448,0.606404304257599,0.6319202785935059,0.7168008122656142,0.8302832425059251,0.6335433409487887,0.704039057026344,0.6439665501613083,0.613246179757611,0.8033953216637132,0.7813213711389722,0.5629576691673984,0.8789623094139684,0.8671354788176586,0.9163239681248221,0.9049972666731231,0.9143286904511846,0.889595065237833,0.8984705263665157,0.5206690519066188,0.8071408799109029,0.6866154862830408,0.7461971529568977,0.4024965094328654,0.43136138345093245,0.7435027838728154,0.8349149054689692,0.8307497775265161,0.69575078818061,0.7620221052859651,0.6499940751203225,0.8343342967655643,0.8636239318480763,0.8563679167926047,0.7513897192223714,0.7433272464949316,0.6518901279729346,0.7806924672505587,0.8596667446680238,0.6997162383775806,0.9505776948165048,0.8836054735219326,0.6755282086555184,0.8734794063943482,0.9058537747206369,0.6556779854984598,0.6145341063633093,0.6301367395241826,0.795245612606944,0.8276639051411259,0.6853474487285818,0.8772348555832682,0.8225325864060075,0.4585930579262417,0.6931630733791458,0.7167315204411668,0.5851730523912047,0.839510506703697,0.6000752244037955,0.8538737194204868,0.8577565958053048,0.8024791381775558,0.8648105012180188,0.732021331584769,0.7397793099850958,0.4347001836001535,0.6937964939526955,0.6069537724698351,0.8805304087120059
I want to see my Goal Sheet,0.7766861703423105,0.4669443728037075,0.6193667746550595,0.6152810846603585,0.706251474891701,0.687696859007775,0.62623914975206,0.3071571128768589,1.1102230246251565e-16,0.3048673934646411,0.8199828922431568,0.8907966803976548,0.8613769899342023,0.8674315902581162,0.9294804982642566,0.7823725994525402,0.715896057701972,0.5576039719595025,0.7318719252447093,0.6808933987146476,0.6074217098144474,0.7826931461214514,0.7719696476039792,0.6126668593101433,0.4787761582451624,0.7987555526709534,0.4787761582451624,0.9063721396325144,0.6983475340463696,0.6792886561840448,0.8163435845961268,0.7780003266148303,0.6053428174508766,0.610296561132956,0.37390086123634936,0.8125798336216623,0.5487784807872037,0.5650630077945786,0.4647150046569304,0.6314906234739909,0.60625730342395,0.467525875583509,0.4669443728037075,0.6887866658127269,0.42455535042786674,0.30917692521971096,0.6969174228978763,0.8478795115276795,0.6545821392581274,0.8654650055433665,0.6973151891143128,0.6496722785063642,0.4927006164432127,0.5662815529473162,0.5067885762363353,0.6315438226965909,0.5129791253563173,0.5758443127077157,0.5540897362971228,0.5726491983234785,0.7283508788659678,0.5640326981776471,0.6041288758316665,0.48860620882881545,0.5119895110844757,0.7709460840722933,0.6267039017097185,0.4380207978559647,0.8519879872278197,0.7356258298450349,0.8762331912667631,0.7825505328881344,0.8488451143792567,0.7640641935101349,0.7833276316668484,0.3606190228918207,0.6258492585004481,0.5133465641242598,0.6902349779481731,0.488669444067516,0.32854920853848624,0.7881522159342904,0.8560407538889547,0.8201150001242674,0.5198625337474208,0.6534073705149622,0.48948541490175945,0.7473874987059461,0.8752573891301572,0.7109157591376788,0.5754228022162411,0.6318370810602301,0.47844971397135283,0.6747568974689269,0.8237476925070015,0.5372413926881033,0.9213299704434798,0.7826931461214514,0.5668028894131105,0.8079660462658752,0.8303157335166025,0.4726098028116097,0.5126066610296272,0.7147073237306141,0.7306029484298724,0.7335777026071455,0.4813492679826108,0.8104823913739494,0.715503072699472,0.5209709734720911,0.7675995486832898,0.8033802447211379,0.7106483655639269,0.8032731635163339,0.45920221308402487,0.8972156277003634,0.7488849679899083,0.8623447114310734,0.7977713414314612,0.5487784807872037,0.5462336879006144,0.48312616901896854,0.5978355807449847,0.434649744126399,0.8349543791902342
I want to view my goals,0.6191698662576903,0.37614240213018346,0.5080036329765967,0.6135003131311758,0.4171942251768167,0.6563250292457963,0.44790219251120234,0.5396993304653155,0.3048673934646411,0.0,0.8563729246607195,0.9221857994524991,0.8431982786089787,0.937348200533537,0.9405889250598287,0.7199084360901509,0.523970410499494,0.3599231769909019,0.7119536957967711,0.6508189563350422,0.49713924700326695,0.5649986619782537,0.661185727442389,0.3701613951580579,0.27514987375713085,0.7327337524994124,0.27514987375713085,0.8210378920831223,0.4954064945468023,0.5599622141596092,0.7206172337045362,0.6299285722712936,0.49890687724142957,0.39549866011348045,0.08118504861167686,0.8220017708834421,0.34460644833041953,0.3858216525385273,0.2028937254346206,0.3883682208052436,0.2939490316767507,0.44764600812581967,0.37614240213018346,0.5561615949910008,0.4719123934831644,0.2930669856038618,0.4447075877531955,0.803148536103307,0.37762403665742184,0.8582267683765666,0.42373810345456475,0.45007720244620963,0.3826562002005168,0.628998056323328,0.3172066838215627,0.44973551356034325,0.5556064996693756,0.5746529834005185,0.5482479033295048,0.4308672317546116,0.5669794202024425,0.5652772113591975,0.4251258696013679,0.31118516253299267,0.40567291095012914,0.559626195094179,0.3840902827373751,0.3999066632036008,0.8955368637047769,0.5898245001793863,0.9245656843547455,0.6329538747674043,0.8150077412709809,0.6241392546867988,0.6454016360179295,0.23547663900346638,0.31611629881672243,0.5166105172562222,0.7064324911409965,0.48564508193657807,0.3259353374627214,0.8262974124324969,0.8815529262101225,0.8369668355050218,0.32714351062785674,0.4117536092980001,0.33220690918776963,0.7349591609734485,0.9997254273499426,0.7327098824877365,0.3622166578752458,0.4324064489494195,0.4491905163338914,0.6315940935089479,0.8210689276823413,0.39756105452638313,0.7738690393908281,0.5649986619782537,0.406742100496824,0.8085090761104055,0.8108938391998382,0.33430615094968363,0.4118142775735857,0.662470948548334,0.7841646040813731,0.7303511520873113,0.22111360152990267,0.6843395968707022,0.43029164162045275,0.5139343276176298,0.5482979840032938,0.591098947539193,0.6396107464742721,0.8493496255456894,0.48552771157907737,0.6912778165061847,0.4995084764006039,0.7372502488844819,0.5083522514334564,0.34460644833041953,0.262218300383703,0.4630159406764103,0.5535068513324428,0.3158182140176188,0.5334615025345296
