,CPD POINTS,Show me Ashok's recognitions,check recognition,i want to see Ashok's recognitions,my awards,my last year achievements,my points,my rewards,recognition points,recognitions,redeem points,reward points,rewards points,view appreciation received,view my awards,view my badges,view recognition,view recognition of Ashok,view recognitions of Ashok,view rewards,where is my silver torch certificate
CPD POINTS,1.1102230246251565e-16,0.8205805856522435,0.8727819984926936,0.7965178296058089,0.7181813841905833,0.7196815429877177,0.5813440088858708,0.646852975750719,0.6216531049149372,0.7421052924262248,0.49060134074767137,0.3987314638150412,0.4056305412051009,0.7981091016754511,0.7688025801548191,0.8438258902712732,0.8691698223154382,0.9065530775134277,0.906125650056656,0.6623211986411768,0.8775142113114622
Show me Ashok's recognitions,0.8205805856522435,0.0,0.5523851137809292,0.1607676507516893,0.6719938192654985,0.7616606852142895,0.7556340059753511,0.7031444513434759,0.6147956293658272,0.4517140093014257,0.7808477846790325,0.777915285656622,0.7782118263709682,0.7792328012119932,0.6636826766229054,0.7857855238399929,0.6810815194839888,0.2932784506885119,0.2604644725206898,0.7681300823739196,0.8498374657107259
check recognition,0.8727819984926936,0.5523851137809292,0.0,0.7661795840499017,0.8269535688472194,0.8928651761730015,0.8630016634452219,0.8816057429994835,0.41959081929466446,0.3529160870409971,0.8111354853192636,0.8742504128223337,0.8853070408441033,0.8128827889450254,0.8114275055566686,0.8346289542414981,0.42830908995692785,0.53359461022621,0.5445653017731749,0.8744856192857122,0.8161318891424798
i want to see Ashok's recognitions,0.7965178296058089,0.1607676507516893,0.7661795840499017,0.0,0.6480085417667127,0.7475010655284253,0.8251180678348276,0.7084119756917078,0.7691060096099448,0.6343730962801875,0.7540362500489508,0.7387714941975769,0.7623886289363944,0.7627317167429646,0.5458493622178247,0.753044911707339,0.8360909830784974,0.4363685055025103,0.4392820169740307,0.6768255134464283,0.8006394214881274
my awards,0.7181813841905833,0.6719938192654985,0.8269535688472194,0.6480085417667127,0.0,0.3869891678173367,0.47375341715003194,0.22789241051246867,0.7619765458952112,0.5324036119986902,0.6283490212544169,0.5401429178637049,0.5167616996688534,0.5976142865101157,0.2905287031635101,0.5895837116890779,0.8289407284063588,0.8318301571380232,0.8239982654494675,0.5827222233940579,0.7425436829148834
my last year achievements,0.7196815429877177,0.7616606852142895,0.8928651761730015,0.7475010655284253,0.3869891678173367,0.0,0.6585423021046839,0.47470282039820466,0.8971950783356316,0.711473805572544,0.6529521521027375,0.5926424459942028,0.5595097902469535,0.7263960220638652,0.46864131758793603,0.6376650037783322,0.9156775619679317,0.9120878840219934,0.9025788288009907,0.6275991035431416,0.7598421930806011
my points,0.5813440088858708,0.7556340059753511,0.8630016634452219,0.8251180678348276,0.47375341715003194,0.6585423021046839,0.0,0.4535981647676073,0.6880156350423485,0.6888831691898863,0.6177803236237782,0.5348381973348524,0.528031528924102,0.7885204876212191,0.7222865256129466,0.7927035161268363,0.9018081714881441,0.9039184297685829,0.8720511602085754,0.7523540466401923,1.0019494980687382
my rewards,0.646852975750719,0.7031444513434759,0.8816057429994835,0.7084119756917078,0.22789241051246867,0.47470282039820466,0.4535981647676073,1.1102230246251565e-16,0.7860169844769397,0.6027518466536059,0.518260956539534,0.38725483334101884,0.33291299772728156,0.7197453473368273,0.47437437100350155,0.5561414012440253,0.8878718108338194,0.8643155441695647,0.857873995002227,0.370691259869501,0.7810156871282661
recognition points,0.6216531049149372,0.6147956293658272,0.41959081929466446,0.7691060096099448,0.7619765458952112,0.8971950783356316,0.6880156350423485,0.7860169844769397,0.0,0.3122026752090372,0.7044541480337451,0.639793434436416,0.6661606256757102,0.7904140639614564,0.8256734964999114,0.8961214039109734,0.3464554441340322,0.5480508204489887,0.5193096368104075,0.8006150796114391,0.8975190036840707
recognitions,0.7421052924262248,0.4517140093014257,0.3529160870409971,0.6343730962801875,0.5324036119986902,0.711473805572544,0.6888831691898863,0.6027518466536059,0.3122026752090372,2.220446049250313e-16,0.7295698523235692,0.5897338109263329,0.5866817842464704,0.646042012848818,0.6693039900509608,0.8173541564476497,0.41906166822467816,0.5639241768254777,0.4968632534493381,0.7092231603331478,0.8527729958472543
redeem points,0.49060134074767137,0.7808477846790325,0.8111354853192636,0.7540362500489508,0.6283490212544169,0.6529521521027375,0.6177803236237782,0.518260956539534,0.7044541480337451,0.7295698523235692,1.1102230246251565e-16,0.29573534369795074,0.33554311269076664,0.8432257055038055,0.6107333534884466,0.7927008763534947,0.9185264959155476,0.9663861996882153,0.9671763606034227,0.5610846404780898,0.7976980595793217
reward points,0.3987314638150412,0.777915285656622,0.8742504128223337,0.7387714941975769,0.5401429178637049,0.5926424459942028,0.5348381973348524,0.38725483334101884,0.639793434436416,0.5897338109263329,0.29573534369795074,2.220446049250313e-16,0.04506896876260069,0.7216858053332488,0.6163524183987339,0.8007533391560668,0.8600361588511082,0.9081168786392102,0.9049889147733261,0.4179502775923142,0.9082420715328836
rewards points,0.4056305412051009,0.7782118263709682,0.8853070408441033,0.7623886289363944,0.5167616996688534,0.5595097902469535,0.528031528924102,0.33291299772728156,0.6661606256757102,0.5866817842464704,0.33554311269076664,0.04506896876260069,0.0,0.7663721639906975,0.6105548931848084,0.7685452953785239,0.8801560774261535,0.9097296898524218,0.8966407526966227,0.40667331568473086,0.8905150457623551
view appreciation received,0.7981091016754511,0.7792328012119932,0.8128827889450254,0.7627317167429646,0.5976142865101157,0.7263960220638652,0.7885204876212191,0.7197453473368273,0.7904140639614564,0.646042012848818,0.8432257055038055,0.7216858053332488,0.7663721639906975,0.0,0.5564782586753507,0.7795622120554804,0.591302735511531,0.6342171621896913,0.6474614216153445,0.5683464744120534,0.8903686302156584
view my awards,0.7688025801548191,0.6636826766229054,0.8114275055566686,0.5458493622178247,0.2905287031635101,0.46864131758793603,0.7222865256129466,0.47437437100350155,0.8256734964999114,0.6693039900509608,0.6107333534884466,0.6163524183987339,0.6105548931848084,0.5564782586753507,0.0,0.33469754947749186,0.8340331181591419,0.800047111856777,0.8186943847634158,0.35303172415303496,0.6523753232946159
view my badges,0.8438258902712732,0.7857855238399929,0.8346289542414981,0.753044911707339,0.5895837116890779,0.6376650037783322,0.7927035161268363,0.5561414012440253,0.8961214039109734,0.8173541564476497,0.7927008763534947,0.8007533391560668,0.7685452953785239,0.7795622120554804,0.33469754947749186,0.0,0.8896607263904905,0.8607237966629748,0.8691100056962898,0.47284717882015725,0.6351252517411223
view recognition,0.8691698223154382,0.6810815194839888,0.42830908995692785,0.8360909830784974,0.8289407284063588,0.9156775619679317,0.9018081714881441,0.8878718108338194,0.3464554441340322,0.41906166822467816,0.9185264959155476,0.8600361588511082,0.8801560774261535,0.591302735511531,0.8340331181591419,0.8896607263904905,1.1102230246251565e-16,0.3696628213421732,0.36706943181635754,0.7707436488126111,0.9659525148192741
view recognition of Ashok,0.9065530775134277,0.2932784506885119,0.53359461022621,0.4363685055025103,0.8318301571380232,0.9120878840219934,0.9039184297685829,0.8643155441695647,0.5480508204489887,0.5639241768254777,0.9663861996882153,0.9081168786392102,0.9097296898524218,0.6342171621896913,0.800047111856777,0.8607237966629748,0.3696628213421732,0.0,0.040995650059514555,0.7630000829618503,0.8883270528460113
view recognitions of Ashok,0.906125650056656,0.2604644725206898,0.5445653017731749,0.4392820169740307,0.8239982654494675,0.9025788288009907,0.8720511602085754,0.857873995002227,0.5193096368104075,0.4968632534493381,0.9671763606034227,0.9049889147733261,0.8966407526966227,0.6474614216153445,0.8186943847634158,0.8691100056962898,0.36706943181635754,0.040995650059514555,0.0,0.7807340635311417,0.9373170119154729
view rewards,0.6623211986411768,0.7681300823739196,0.8744856192857122,0.6768255134464283,0.5827222233940579,0.6275991035431416,0.7523540466401923,0.370691259869501,0.8006150796114391,0.7092231603331478,0.5610846404780898,0.4179502775923142,0.40667331568473086,0.5683464744120534,0.35303172415303496,0.47284717882015725,0.7707436488126111,0.7630000829618503,0.7807340635311417,0.0,0.8030657999240652
where is my silver torch certificate,0.8775142113114622,0.8498374657107259,0.8161318891424798,0.8006394214881274,0.7425436829148834,0.7598421930806011,1.0019494980687382,0.7810156871282661,0.8975190036840707,0.8527729958472543,0.7976980595793217,0.9082420715328836,0.8905150457623551,0.8903686302156584,0.6523753232946159,0.6351252517411223,0.9659525148192741,0.8883270528460113,0.9373170119154729,0.8030657999240652,0.0
