,My weekly of days,View Weekly Offs,view weekly off,week off,weekend off,weekends,weekly of,weekly off,weekly off present,what are my weekends,what are my weekly offs,when in my weekly off,when is my weekend
My weekly of days,0.0,0.48344393443984923,0.45813042145455507,0.4318734683923817,0.49794306687092793,0.4480547450152099,0.29008841837866184,0.3599850793422237,0.4781798357155871,0.28275278612023313,0.3490985404972583,0.4387237755424599,0.36616582400865916
View Weekly Offs,0.48344393443984923,0.0,0.11535565127253622,0.5180304483249953,0.5998235358702142,0.6674605092855406,0.42725107343336877,0.4125369394329559,0.5421746772269066,0.5537158819004093,0.30198491090901725,0.5857556656539955,0.6169331628965569
view weekly off,0.45813042145455507,0.11535565127253622,0.0,0.46833331272788215,0.5581274831637013,0.6487257244385034,0.3788283894419461,0.3609344185313351,0.5358405397032541,0.5920059732380758,0.38299287911185476,0.5782816464348002,0.6295154678537285
week off,0.4318734683923817,0.5180304483249953,0.46833331272788215,0.0,0.14518019404443205,0.4320078782105762,0.4839441785878744,0.11239677743417176,0.37666545420821174,0.43300812493937024,0.4242148477642559,0.473001915774685,0.47329651849960097
weekend off,0.49794306687092793,0.5998235358702142,0.5581274831637013,0.14518019404443205,1.1102230246251565e-16,0.24298544089392682,0.5802197065394233,0.19921447341092458,0.4293021892592831,0.2866054456546626,0.4794292362653757,0.48724768979110433,0.3257968567678585
weekends,0.4480547450152099,0.6674605092855406,0.6487257244385034,0.4320078782105762,0.24298544089392682,0.0,0.5311926196119474,0.3961539403274337,0.5891585149979819,0.20772873312433848,0.5670179742708774,0.49102653655187856,0.29324738266876826
weekly of,0.29008841837866184,0.42725107343336877,0.3788283894419461,0.4839441785878744,0.5802197065394233,0.5311926196119474,0.0,0.40144508985402194,0.5376778713707095,0.4931350922023646,0.47056697920854673,0.5631584262214293,0.5210860786893297
weekly off,0.3599850793422237,0.4125369394329559,0.3609344185313351,0.11239677743417176,0.19921447341092458,0.3961539403274337,0.40144508985402194,0.0,0.28500245395059853,0.3961245861983924,0.2654379235036418,0.3529394715870674,0.47793191163015614
weekly off present,0.4781798357155871,0.5421746772269066,0.5358405397032541,0.37666545420821174,0.4293021892592831,0.5891585149979819,0.5376778713707095,0.28500245395059853,0.0,0.5710153661885746,0.3643144114735666,0.5346804666913142,0.6282159653846289
what are my weekends,0.28275278612023313,0.5537158819004093,0.5920059732380758,0.43300812493937024,0.2866054456546626,0.20772873312433848,0.4931350922023646,0.3961245861983924,0.5710153661885746,0.0,0.3691771703858575,0.42398989150706357,0.14322091362433242
what are my weekly offs,0.3490985404972583,0.30198491090901725,0.38299287911185476,0.4242148477642559,0.4794292362653757,0.5670179742708774,0.47056697920854673,0.2654379235036418,0.3643144114735666,0.3691771703858575,2.220446049250313e-16,0.3631648884138252,0.48712554747558856
when in my weekly off,0.4387237755424599,0.5857556656539955,0.5782816464348002,0.473001915774685,0.48724768979110433,0.49102653655187856,0.5631584262214293,0.3529394715870674,0.5346804666913142,0.42398989150706357,0.3631648884138252,0.0,0.3829949657202961
when is my weekend,0.36616582400865916,0.6169331628965569,0.6295154678537285,0.47329651849960097,0.3257968567678585,0.29324738266876826,0.5210860786893297,0.47793191163015614,0.6282159653846289,0.14322091362433242,0.48712554747558856,0.3829949657202961,0.0
