,Darwin,Darwin url,I can help you,List of commands,What can I do,What can i do,assist me,chatbot,darwin,dear plz halp me for thet,guide,hello can you help me,help,help me,i can help you,i want help,need help,what can  i do,what can i do,what can you do,what can you do ?
Darwin,0.0,0.34907106884898276,1.0095606356887339,0.9397408785403563,0.9606122257324661,0.9606122257324661,0.8124847463217988,0.7376133587045902,0.0,0.913604764033102,0.8878319601064405,0.8663508349995134,0.8372278426312911,0.8754806048216702,1.0095606356887339,0.8988628207054182,0.877774459661575,0.9606122257324661,0.9606122257324661,0.9068463968928384,0.9248432006588796
Darwin url,0.34907106884898276,0.0,0.8980742314177321,0.9100017378766277,0.9961450832408858,0.9961450832408858,0.8341025279306659,0.8263003148713584,0.34907106884898276,0.8667715313641606,0.7870118166995623,0.8556411648201221,0.8629616491932361,0.859565870779017,0.8980742314177321,0.8500996674671204,0.8676042443459774,0.9961450832408858,0.9961450832408858,1.0040680213872883,1.0396639346333953
I can help you,1.0095606356887339,0.8980742314177321,0.0,0.8956846483199077,0.8328828006433309,0.8328828006433309,0.5737287860633329,0.7950464249435212,1.0095606356887339,0.83196043128573,0.705193702378097,0.5408178566770325,0.6173478347913205,0.66597512716833,0.0,0.6756196509376748,0.6698790284880023,0.8328828006433309,0.8328828006433309,0.8612364377484363,0.8504928031908686
List of commands,0.9397408785403563,0.9100017378766277,0.8956846483199077,1.1102230246251565e-16,1.0182124180526695,1.0182124180526695,0.8733938332627571,0.8085980847132097,0.9397408785403563,0.7997229638910405,0.7405420062361827,0.836352086387403,0.8582850425773285,0.9022411566534669,0.8956846483199077,0.8750929453668965,0.8756372152608075,1.0182124180526695,1.0182124180526695,0.8964543616869507,0.9188002942518048
What can I do,0.9606122257324661,0.9961450832408858,0.8328828006433309,1.0182124180526695,1.1102230246251565e-16,1.1102230246251565e-16,0.7120571141373967,0.839805509457741,0.9606122257324661,0.9191610210713886,0.8947441022014591,0.6561445441991552,0.5838381876147459,0.5375618917246606,0.8328828006433309,0.6612597471154369,0.6895309248688415,1.1102230246251565e-16,1.1102230246251565e-16,0.34754948230550897,0.37050438087312854
What can i do,0.9606122257324661,0.9961450832408858,0.8328828006433309,1.0182124180526695,1.1102230246251565e-16,1.1102230246251565e-16,0.7120571141373967,0.839805509457741,0.9606122257324661,0.9191610210713886,0.8947441022014591,0.6561445441991552,0.5838381876147459,0.5375618917246606,0.8328828006433309,0.6612597471154369,0.6895309248688415,1.1102230246251565e-16,1.1102230246251565e-16,0.34754948230550897,0.37050438087312854
assist me,0.8124847463217988,0.8341025279306659,0.5737287860633329,0.8733938332627571,0.7120571141373967,0.7120571141373967,2.220446049250313e-16,0.7118184590652358,0.8124847463217988,0.6850604311312913,0.6273828743763108,0.424632777243099,0.3709808052806911,0.24172307796617576,0.5737287860633329,0.45911210946908365,0.4374559503446328,0.7120571141373967,0.7120571141373967,0.7444054008993803,0.7803405903346035
chatbot,0.7376133587045902,0.8263003148713584,0.7950464249435212,0.8085980847132097,0.839805509457741,0.839805509457741,0.7118184590652358,0.0,0.7376133587045902,0.7647803645422283,0.8149975824535465,0.6951187071028089,0.7051845300548931,0.757374529875811,0.7950464249435212,0.7325118115539797,0.753808471717892,0.839805509457741,0.839805509457741,0.8304349065034523,0.8568805663018624
darwin,0.0,0.34907106884898276,1.0095606356887339,0.9397408785403563,0.9606122257324661,0.9606122257324661,0.8124847463217988,0.7376133587045902,0.0,0.913604764033102,0.8878319601064405,0.8663508349995134,0.8372278426312911,0.8754806048216702,1.0095606356887339,0.8988628207054182,0.877774459661575,0.9606122257324661,0.9606122257324661,0.9068463968928384,0.9248432006588796
dear plz halp me for thet,0.913604764033102,0.8667715313641606,0.83196043128573,0.7997229638910405,0.9191610210713886,0.9191610210713886,0.6850604311312913,0.7647803645422283,0.913604764033102,0.0,0.8037108515401096,0.5335297053044716,0.7900861980116856,0.6406118242000636,0.83196043128573,0.5803868365832582,0.682164533859662,0.9191610210713886,0.9191610210713886,0.9028764065585326,0.9830113044703563
